,i,year,month,acyear,title,category,inst,instclass,url
5217,5217,2009,11,2009,Senior Research Fellow  (ICRAR Reference: 1178) High Time Resolution Radio Astronomy Research - JRID35745,Post-doctoral Positions and Fellowships,International Centre for Radio Astronomy,Foreign,../job_view?JobID=35745
5218,5218,2007,11,2007,"Postdoctoral Fellowship in Astronomy, XRBs, ISM, AGN &amp; Study of Galaxies in X-rays - JRID30330",PostV,Smithsonian Astrophysical Observatory,Other,../job_view?JobID=30330
5219,5219,2009,10,2009,Postdoctoral Research Position in Stellar Evolution - JRID35211,Post-doctoral Positions and Fellowships,Space Telescope Science Institute,Government Agency,../job_view?JobID=35211
5220,5220,2007,11,2007,Instrumentation Scientist -- Postdoctoral Fellow/Master?s Level - JRID30336,PostV,The Observatories of the Carnegie Instit,Research Laboratory,../job_view?JobID=30336
5221,5221,2009,10,2009,ESA/Aura Astronomer - JRID35217,Other,Space Telescope Science Institute,Government Agency,../job_view?JobID=35217
5222,5222,2009,11,2009,Research Associate in Optical and NIR instrumentation - JRID35742,Post-doctoral Positions and Fellowships,Penn State University,Large Academic,../job_view?JobID=35742
5223,5223,2009,10,2009,Post-Doctoral Fellowships in Galactic Dynamics - JRID35103,Post-doctoral Positions and Fellowships,Max-Planck-Institute for Extraterrestria,Foreign,../job_view?JobID=35103
5224,5224,2007,11,2007,O.K. Earl and Texaco Postdoctoral Fellowships in Geological and Planetary Sciences - JRID30195,PostV,California Institute of Technology,Small Academic,../job_view?JobID=30195
5225,5225,2007,11,2007,Postdoctoral Research in Extrasolar Planet Detection and/or Planet Formation Theory - JRID30192,PostV,University of Florida,Large Academic,../job_view?JobID=30192
5226,5226,2009,10,2009,Astrophysics and Astronomy - JRID35100,Pre-doctoral/Graduate Positions,International Max-Planck Research School,Foreign,../job_view?JobID=35100
5227,5227,2014,7,2014,Postdoctoral Fellowship with the Submillimeter Array - JRID48424,Post-doctoral Positions and Fellowships,Smithsonian Astrophysical Observatory,Government Agency,../job_view?JobID=48424
5228,5228,2014,8,2014,PhD student in astrophysics - JRID48421,Pre-doctoral/Graduate Positions,KTH Royal Institute of Technology,Large Academic,../job_view?JobID=48421
5229,5229,2007,11,2007,Postdoctoral Scholar - JRID30198,PostV,California Institute of Technology,Small Academic,../job_view?JobID=30198
5230,5230,2012,2,2011,Electrical / Detector Engineer - JRID41650,Science Engineering,California Institute of Technology,Large Academic,../job_view?JobID=41650
5231,5231,2012,2,2011,Statistical/Clinical Programmer Analyst - JRID41653,Scientific/Technical Staff,"DataCeutics, Inc.",Other,../job_view?JobID=41653
5232,5232,2015,10,2015,Scientific software developer position at Strasbourg Astronomical Observatory - JRID52061,Scientific/Technical Staff,"CDS, Strasbourg Astronomical Observatory",Foreign,../job_view?JobID=52061
5233,5233,2013,9,2013,Postdoctoral Level Researchers in Theoretical Astrophysics and Relativity - JRID45358,Post-doctoral Positions and Fellowships,Kavli Institute for Theoretical Physics,Large Academic,../job_view?JobID=45358
5234,5234,2012,4,2011,Postdoctoral Position in Astrophysics - JRID41878,Post-doctoral Positions and Fellowships,Purdue University,Large Academic,../job_view?JobID=41878
5235,5235,2012,2,2011,ELECTRONICS ENGINEER - JRID41656,Science Engineering,W. M. Keck Observatory,Other,../job_view?JobID=41656
5236,5236,2012,1,2011,Faculty Position in Experimental Astrophysics - JRID41306,Faculty Positions (tenure and tenure-track),California Institute of Technology,Small Academic,../job_view?JobID=41306
5237,5237,2012,4,2011,Fellowship in computational astrophysics - JRID41871,Post-doctoral Positions and Fellowships,Ecole Polytechnique Federale de Lausanne (EPFL),Large Academic,../job_view?JobID=41871
5238,5238,2012,3,2011,Optical System Engineer - JRID41873,Science Engineering,AURA/NSO/ATST,Other,../job_view?JobID=41873
5239,5239,2013,11,2013,Fellowship on Stellar Dynamo and Star-Disk interactions - JRID46159,Post-doctoral Positions and Fellowships,CEA-Saclay,Other,../job_view?JobID=46159
5240,5240,2016,3,2015,Postdoctoral positions in Cosmology with the SKA - JRID53853,Post-doctoral Positions and Fellowships,University of the Wester Cape,Large Academic,../job_view?JobID=53853
5241,5241,2011,3,2010,Fondecyt Fellowships - JRID39024,Post-doctoral Positions and Fellowships,Dpto. Astronomia y Astrofisica - Pontificia Universidad Catolica de Chile,Foreign,../job_view?JobID=39024
5242,5242,2013,11,2013,Postdoctoral Research/Non-permanent Faculty Positions in the cosmology group at Korea Astronomy and Space Science Institute - JRID46152,Post-doctoral Positions and Fellowships,Korea Astronomy and Space Science Institute,Foreign,../job_view?JobID=46152
5243,5243,2013,11,2013,postdoctoral fellowship in Astrobiology - JRID46150,Post-doctoral Positions and Fellowships,The University of Hong Kong,Foreign,../job_view?JobID=46150
5244,5244,2013,11,2013,Postdoctoral Researcher in “Galaxy Formation in a Dark Universe” at the Max Planck Institute for Astronomy (MPIA) in Heidelberg (13-12) - JRID46157,Post-doctoral Positions and Fellowships,Max Planck Institute for Astronomy,Other,../job_view?JobID=46157
5245,5245,2009,6,2009,Research Associate or Research Scientist - JRID34527,Post-doctoral Positions and Fellowships,National Solar Observatory/National Opti,Other,../job_view?JobID=34527
5246,5246,2013,11,2013,Two postdoctoral positions in Theoretical Computational Astrophysics - JRID46155,Post-doctoral Positions and Fellowships,Osaka University,Large Academic,../job_view?JobID=46155
5247,5247,2008,1,2007,POSTDOCTORAL POSITION IN GALAXY FEEDBACK STUDIES - JRID31110,PostV,"University of California, Santa Barbara",Large Academic,../job_view?JobID=31110
5248,5248,2014,12,2014,Project Engineer  - JRID49920,Science Engineering,The Australian Astronomical Observatory,Government Agency,../job_view?JobID=49920
5249,5249,2012,12,2012,"Postdoctoral position in the fields of Astrophysical Fluid Dynamics, and Stellar and Planetary Astrophysics - JRID43798",Post-doctoral Positions and Fellowships,University of California at Santa Cruz,Large Academic,../job_view?JobID=43798
5250,5250,2011,11,2011,Postdoctoral Associate in Exoplanet  Detection - JRID40652,Post-doctoral Positions and Fellowships,Yale University,Large Academic,../job_view?JobID=40652
5251,5251,2007,11,2007,"Postdoctoral Fellowships in Astrophysics, Cosmology and Gravitation - JRID30429",PostV,The Hebrew University of Jerusalem,Foreign,../job_view?JobID=30429
5252,5252,2011,11,2011,PhD Positions in the Netherlands - JRID40657,Pre-doctoral/Graduate Positions,Various Universities in the Netherlands,Foreign,../job_view?JobID=40657
5253,5253,2011,11,2011,Postdoctoral Position in Theoretical Astrophysics - JRID40655,Post-doctoral Positions and Fellowships,"JILA, University of Colorado Boulder",Large Academic,../job_view?JobID=40655
5254,5254,2013,5,2012,Postdoctoral Position in Multi-Wavelength Extragalactic Astronomy - JRID44880,Post-doctoral Positions and Fellowships,University of Cape Town,Foreign,../job_view?JobID=44880
5255,5255,2013,5,2012,"Visiting Affiliate Assistant Professor, Physics - JRID44886",Faculty Positions (visiting and non-tenure),Loyola University Maryland,Other,../job_view?JobID=44886
5256,5256,2010,6,2010,Post Doctoral Research Associate - JRID36861,Post-doctoral Positions and Fellowships,Space Telescope Science Institute,Other,../job_view?JobID=36861
5257,5257,2013,7,2013,Postdoctoral Scholar in Structure Formation and Cosmology – Ludwig-Maximilians University (Munich) - JRID45178,Post-doctoral Positions and Fellowships,Ludwig-Maximilians University (Munich),Large Academic,../job_view?JobID=45178
5258,5258,2015,11,2015,Gemini Science Fellow - JRID51439,Post-doctoral Positions and Fellowships,AURA,Other,../job_view?JobID=51439
5259,5259,2013,7,2013,Postdoctoral research fellow in solar physics - JRID45170,Post-doctoral Positions and Fellowships,University of Oslo,Foreign,../job_view?JobID=45170
5260,5260,2013,7,2013,UKZN Postdoctoral Fellowship in Millimetre-Wavelength Instrumentation and Cosmology - JRID45175,Post-doctoral Positions and Fellowships,University of KwaZulu-Natal,Large Academic,../job_view?JobID=45175
5261,5261,2014,10,2014,SDSS-IV Fellow at Shanghai Astronomical Observatory - JRID49084,Post-doctoral Positions and Fellowships,Shanghai Astronomical Observatory,Foreign,../job_view?JobID=49084
5262,5262,2008,1,2007,ALMA Assistant Scientist (CASA) - JRID31068,Rsrch,NRAO,Research Laboratory,../job_view?JobID=31068
5263,5263,2014,10,2014,Postdoctoral Scholar Studying Exoplanetary Systems - JRID49086,Post-doctoral Positions and Fellowships,Space Telescope Science Institute,Government Agency,../job_view?JobID=49086
5264,5264,2003,12,2003,Postdoctoral Researcher - JRID25881,PostV,Louisiana State University,Large Academic,../job_view?JobID=25881
5265,5265,2014,10,2014,"Support scientist position at the Radio Observatory of ASTRON (Dwingeloo, NL) - JRID49080",Post-doctoral Positions and Fellowships,ASTRON,Foreign,../job_view?JobID=49080
5266,5266,2006,1,2005,Research Associate to Assistant Astronomer - JRID25887,PostV,The University of Arizona,Large Academic,../job_view?JobID=25887
5267,5267,2005,12,2005,Postdoctoral Position in High Energy Astrophysics - JRID25884,PostV,University of Michigan,Large Academic,../job_view?JobID=25884
5268,5268,2008,1,2007,Postdoctoral Position in the field of Supernovae and GRBs - JRID31062,PostV,"Dept. of Astronomy, Stockholm University",Foreign,../job_view?JobID=31062
5269,5269,2008,1,2007,Postdoctoral Research Associate in High-energy Gamma-ray Astrophysics - JRID31065,Rsrch,"University of Maryland, Baltimore County",Large Academic,../job_view?JobID=31065
5270,5270,2008,11,2008,"Integration, Test &amp; Verification Lead - JRID33078",Science Engineering,USRA Nasa Ames Research,Small Academic,../job_view?JobID=33078
5271,5271,2012,12,2012,Faculty Position in Computational Science - JRID44089,Faculty Positions (tenure and tenure-track),Virginia Tech,Large Academic,../job_view?JobID=44089
5272,5272,2009,12,2009,Cosmology Postdoctoral Fellowship - ID# 29491 - JRID35961,Post-doctoral Positions and Fellowships,Institute for Astronomy,Research Laboratory,../job_view?JobID=35961
5273,5273,2012,12,2012,Postdoctoral Position in Time Domain or Extragalactic Astronomy - JRID44081,Post-doctoral Positions and Fellowships,Texas Tech University,Large Academic,../job_view?JobID=44081
5274,5274,2010,1,2009,Cosmology Postdoctoral Fellowship - ID# 29491 - JRID35964,Post-doctoral Positions and Fellowships,Institute for Astronomy,Research Laboratory,../job_view?JobID=35964
5275,5275,2009,12,2009,Adaptive Optics Scientist - ID# 29489 - JRID35967,Post-doctoral Positions and Fellowships,National Astronomical Observatory of Jap,Foreign,../job_view?JobID=35967
5276,5276,2008,12,2008,Research Associates in the Herschel Lensing Survey - JRID33513,Post-doctoral Positions and Fellowships,University of Arizona,Large Academic,../job_view?JobID=33513
5277,5277,2008,12,2008,Postdoctoral Associate in the Gaseous Medium in the Universe - JRID33510,Post-doctoral Positions and Fellowships,University of Michigan,Large Academic,../job_view?JobID=33510
5278,5278,2008,12,2008,Research Associate in the Local Cluster Substructure Survey (LoCuSS) - JRID33516,Post-doctoral Positions and Fellowships,University of Arizona,Large Academic,../job_view?JobID=33516
5279,5279,2010,11,2010,Postdoctoral Fellow in East Asian ALMA Regional Center - JRID38034,Post-doctoral Positions and Fellowships,National Astronomical Observatory of Jap,Foreign,../job_view?JobID=38034
5280,5280,2010,4,2009,Contract Faculty Position/General Educ. Physics/Astronomy - JRID36591,Faculty Positions (visiting and non-tenure),Ball State University,Large Academic,../job_view?JobID=36591
5281,5281,2008,12,2008,Postdoctoral Reserach Associate - JRID33519,Post-doctoral Positions and Fellowships,"University of Wisconsin, Madison",Large Academic,../job_view?JobID=33519
5282,5282,2010,4,2009,"Scientific Programmer/Analyst/Research Associate (Boulder, CO) - JRID36594",Scientific/Technical Staff,Atmospheric &amp; Space Technology Research,Other,../job_view?JobID=36594
5283,5283,2014,11,2014,Postdoctoral position in active galactic nuclei and galaxy evolution - JRID49572,Post-doctoral Positions and Fellowships,Dartmouth College,Small Academic,../job_view?JobID=49572
5284,5284,2010,4,2009,"Postdoctoral Fellow, Extragalactic Astronomy - JRID36597",Post-doctoral Positions and Fellowships,University of South Carolina,Large Academic,../job_view?JobID=36597
5285,5285,2013,10,2013,Control Systems Lead Engineer - JRID45685,Science Engineering,W. M. Keck Observatory,Other,../job_view?JobID=45685
5286,5286,2013,10,2013,Tenure Track Assistant Professor in Astronomy - JRID45682,Faculty Positions (tenure and tenure-track),Georgia Southern University/Department of Physics,Large Academic,../job_view?JobID=45682
5287,5287,2003,9,2003,"Director, Kepler Science Operations - JRID20619",MngOth,NASA Ames Research Center,Government Agency,../job_view?JobID=20619
5288,5288,2003,7,2003,Instructor of Astronomy and Physics - JRID20349,NTT,University of Hawaii at Hilo,Small Academic,../job_view?JobID=20349
5289,5289,2003,7,2003,Scientific Programmer - JRID20346,RsrchSp,University of Maryland,Large Academic,../job_view?JobID=20346
5290,5290,2014,10,2014,Multiple Research Associate Positions at the Institute for Pale Blue Dots at Cornell University - JRID49337,Post-doctoral Positions and Fellowships,Cornell University Institute for Pale Blue Dots,Large Academic,../job_view?JobID=49337
5291,5291,2003,9,2003,Post-doctoral positions in Astronomy and Astrophysics - JRID20616,PostV,Inter-University Center for Astronomy an,Research Laboratory,../job_view?JobID=20616
5292,5292,2003,9,2003,Post Doctoral Research Associate - JRID20610,PostV,AURA NOAO,Other,../job_view?JobID=20610
5293,5293,2003,7,2003,ASTRON SKA Program Manager - JRID20343,MngOth,ASTRON - Netherlands Foundation for Radi,Research Laboratory,../job_view?JobID=20343
5294,5294,2003,7,2003,Professorship in Theoretical Astrophysics - JRID20340,Rsrch,University of Copenhagen,Large Academic,../job_view?JobID=20340
5295,5295,2003,9,2003,Postdoc position in dwarf galaxy formation and evolution - JRID20613,PostV,Kapteyn Institute,Large Academic,../job_view?JobID=20613
5296,5296,2008,3,2007,FACULTY POSITION IN ASTROPHYSICS - JRID31245,Faculty Positions (tenure and tenure-track),PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,Foreign,../job_view?JobID=31245
5297,5297,2003,11,2003,Post-Doctoral Research Associate in Galaxy Evolution - JRID21228,PostV,Cardiff University,Large Academic,../job_view?JobID=21228
5298,5298,2008,3,2007,POSTDOCTORAL SCHOLAR IN ASTRONOMICAL OPTICS - JRID31242,PostV,"UNIVERSITY OF CALIFORNIA, IRVINE",Large Academic,../job_view?JobID=31242
5299,5299,2008,3,2007,PAN-STARRS Telescope Engineer ID#28062 - JRID31248,Science Engineering,Research Corporation of the University o,Government Agency,../job_view?JobID=31248
5300,5300,2004,9,2004,INSTITUTE POSTDOCTORAL FELLOWSHIP - JRID22617,Rsrch,Space Telescope Science Institute,Foreign,../job_view?JobID=22617
5301,5301,2004,8,2004,Hubble Postdoctoral Fellowships - JRID22614,Rsrch,Space Telescope Science Institute,Other,../job_view?JobID=22614
5302,5302,2005,2,2004,Postdoctoral Researcher in Laboratory Astrophysics - JRID23991,PostV,Washington University in St. Louis,Large Academic,../job_view?JobID=23991
5303,5303,2004,8,2004,MIT Pappalardo Fellow in Physics - JRID22611,PostV,MIT,Large Academic,../job_view?JobID=22611
5304,5304,2013,1,2012,Research Associate - JRID44178,Post-doctoral Positions and Fellowships,"University of Colorado, Laboratory for Atmospheric and Space Physics",Research Laboratory,../job_view?JobID=44178
5305,5305,2016,1,2015,Head of Western Australia Observatory Operations - JRID53283,Science Management,CSIRO Astronomy and Space Science/Australia Telescope National Facility,Research Laboratory,../job_view?JobID=53283
5306,5306,2013,1,2012,"Postdoctoral Research Positions, Caltech High Energy Astrophysics - JRID44227",Post-doctoral Positions and Fellowships,California Institute of Technology,Small Academic,../job_view?JobID=44227
5307,5307,2005,1,2004,Lecturer/Senior Lecturer in Astrophysics (2 posts) - JRID23838,Rsrch,"Astrophysics Research Institute, Liverpo",Foreign,../job_view?JobID=23838
5308,5308,2005,8,2005,NASA Research Fellowships in Astrophysics at Goddard Space Flight Center - JRID24828,PostV,Goddard Space Flight Center,Government Agency,../job_view?JobID=24828
5309,5309,2013,2,2012,Postdoctoral Research Associate on the Design of the Euclid near-IR Pipeline - JRID44550,Post-doctoral Positions and Fellowships,Leiden University,Large Academic,../job_view?JobID=44550
5310,5310,2013,1,2012,Postdoctoral Position in Infrared Interferometry - JRID44221,Post-doctoral Positions and Fellowships,Max Planck Institute for Radio Astronomy,Research Laboratory,../job_view?JobID=44221
5311,5311,2016,1,2015,Research Associate in 21cm and EoR Astrophysics - JRID53297,Post-doctoral Positions and Fellowships,Imperial College London,Large Academic,../job_view?JobID=53297
5312,5312,2005,8,2005,Research Fellowship in Theoretical Astrophysical Plasmas - JRID24822,PostV,University College Dublin,Large Academic,../job_view?JobID=24822
5313,5313,2005,1,2004,Postdoctoral Fellow (Circumstellar Matter) - JRID23832,PostV,Space Telescope Science Institute,Other,../job_view?JobID=23832
5314,5314,2005,1,2004,Fellowship in Supernovae and Gamma Ray Bursts - JRID23835,Rsrch,Australian National University,Large Academic,../job_view?JobID=23835
5315,5315,2013,2,2012,Postdoctoral Fellow in Computational Astrophysics - JRID44558,Post-doctoral Positions and Fellowships,University of Basel,Large Academic,../job_view?JobID=44558
5316,5316,2005,8,2005,Michelson Fellowships - JRID24825,Rsrch,California Institute of Technology,Small Academic,../job_view?JobID=24825
5317,5317,2004,4,2003,W.M. Keck Fellowship - JRID22173,PostV,The Johns Hopkins University,Large Academic,../job_view?JobID=22173
5318,5318,2012,11,2012,Observing Assistant - JRID43681,Scientific/Technical Staff,NOAO/Kitt Peak,Other,../job_view?JobID=43681
5319,5319,2004,4,2003,Assistant professor - JRID22170,Other,Universidad de Concepcion,Large Academic,../job_view?JobID=22170
5320,5320,2012,11,2012,Postdoctoral position in Cosmology - JRID43685,Post-doctoral Positions and Fellowships,University of Southern California,Large Academic,../job_view?JobID=43685
5321,5321,2012,11,2012,Project Manager/Engineer - JRID43689,Science Engineering,W. M. Keck Observatory,Other,../job_view?JobID=43689
5322,5322,2004,4,2003,"Computational Plasma Physics, Scientist, Plasma Modeler - JRID22176",PostV,"Institute for Scientific Research, Inc.",Research Laboratory,../job_view?JobID=22176
5323,5323,2006,2,2005,Postdoc in Infrared Astronomy and Instrumentation - JRID26103,PostV,Ghent University,Foreign,../job_view?JobID=26103
5324,5324,2007,9,2007,Postdoctoral Research Associate in Extragalactic Astronomy - JRID29637,PostV,Lowell Observatory,Other,../job_view?JobID=29637
5325,5325,2009,12,2009,Postdoctoral Position in High-Energy Extragalactic Astronomy - JRID36042,Post-doctoral Positions and Fellowships,University of Maryland,Large Academic,../job_view?JobID=36042
5326,5326,2010,5,2009,"Professor, Observational/Experimental Planetary Science - JRID36735",Faculty Positions (tenure and tenure-track),University of Maryland,Large Academic,../job_view?JobID=36735
5327,5327,2010,5,2009,Post-Doctoral Position in Infrared Astronomy - JRID36732,Post-doctoral Positions and Fellowships,The University of Western Ontario,Foreign,../job_view?JobID=36732
5328,5328,2009,12,2009,Postdoctoral fellowship in Observational Cosmology - JRID36045,Post-doctoral Positions and Fellowships,Institute of Space Science (CSIC-IEEC),Foreign,../job_view?JobID=36045
5329,5329,2006,2,2005,Postdoctoral Research Fellow in e-VLBI Astronomy/Postdoctoral Research Fellow in Astronomical Computing - JRID26106,PostV,Joint Institute for VLBI in Europe,Foreign,../job_view?JobID=26106
5330,5330,2009,12,2009,Two PhD studentships in Computational Astrophysics - JRID36048,Pre-doctoral/Graduate Positions,Institute of Space Science (CSIC-IEEC),Foreign,../job_view?JobID=36048
5331,5331,2011,12,2011,Assistant Professor - JRID41098,Faculty Positions (tenure and tenure-track),Michigan State University,Large Academic,../job_view?JobID=41098
5332,5332,2010,5,2009,IPAC Visiting Graduate Student Research Fellowships 2010/11 - JRID36738,Other,California Institute of Technology,Small Academic,../job_view?JobID=36738
5333,5333,2012,5,2011,Postdoctoral Position in Extragalactic Astronomy - JRID42083,Post-doctoral Positions and Fellowships,University of Kentucky,Large Academic,../job_view?JobID=42083
5334,5334,2008,10,2008,XMM-Newton Postdoctoral position in X-ray Astronomy - JRID32604,Post-doctoral Positions and Fellowships,Centre d'Etude Spatiale des Rayonnements,Foreign,../job_view?JobID=32604
5335,5335,2008,10,2008,Postdoctoral Research Fellows and Associates in the Galaxies and Cosmology department (reference 08-09) - JRID32607,Post-doctoral Positions and Fellowships,Max Planck Institute for Astronomy,Foreign,../job_view?JobID=32607
5336,5336,2008,10,2008,Postdoctoral Fellowships in Theoretical Astrophysics - JRID32601,Post-doctoral Positions and Fellowships,Max-Planck-Institut fuer Astrophysik,Foreign,../job_view?JobID=32601
5337,5337,2013,9,2013,W. J. McDonald Postdoctoral Fellowship - JRID45593,Post-doctoral Positions and Fellowships,McDonald Observatory (UT Austin),Large Academic,../job_view?JobID=45593
5338,5338,2010,11,2010,Postdoctoral position for Euclid and JANUS science investigations - JRID38265,Post-doctoral Positions and Fellowships,Space Science Center (Faculty of Science,Foreign,../job_view?JobID=38265
5339,5339,2012,10,2012,Research Fellow in Signal Processing for Radio Astronomy - JRID43026,Post-doctoral Positions and Fellowships,University of Southampton,Large Academic,../job_view?JobID=43026
5340,5340,2012,10,2012,"Post-doctoral position at CEA, France in the ISM of galaxies - JRID43021",Post-doctoral Positions and Fellowships,"CEA, Saclay, France",Research Laboratory,../job_view?JobID=43021
5341,5341,2015,10,2015,Associate Specialists (Postdoctoral Level Researchers) in Theoretical Astrophysics and Relativity - JRID51913,Post-doctoral Positions and Fellowships,Kavli Institute for Theoretical Physics,Large Academic,../job_view?JobID=51913
5342,5342,2012,10,2012,Kavli Institute Fellowship (Cosmology) - JRID43028,Post-doctoral Positions and Fellowships,"Institute of Astronomy, University of Cambridge",Foreign,../job_view?JobID=43028
5343,5343,2010,8,2010,Postdoctoral Research Fellow in Theoretical Cosmology - JRID37128,Post-doctoral Positions and Fellowships,University of Sussex,Large Academic,../job_view?JobID=37128
5344,5344,2015,10,2015,Postdoctoral Position in Stellar Astrophysics  - JRID51915,Post-doctoral Positions and Fellowships,Kavli Institute for Theoretical Physics,Large Academic,../job_view?JobID=51915
5345,5345,2004,7,2004,Lake Afton Public Observatory Program Manager - JRID22512,Other,Wichita State University,Planetarium,../job_view?JobID=22512
5346,5346,2016,1,2015,Harvard Future Faculty Leaders Postdoctoral Fellowship - JRID53339,Post-doctoral Positions and Fellowships,Harvard University,Large Academic,../job_view?JobID=53339
5347,5347,2012,12,2012,Postdoctoral Research in Active Galaxies and Cosmic Surveys Related to NuStar - JRID43935,Post-doctoral Positions and Fellowships,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,Foreign,../job_view?JobID=43935
5348,5348,2014,10,2014,Postdoctoral Research Scientist  - JRID49242,Post-doctoral Positions and Fellowships,Columbia University,Large Academic,../job_view?JobID=49242
5349,5349,2008,10,2008,NAASC Scientist - Commissioning Liaison - JRID32748,Scientific/Technical Staff,National Radio Astronomy Observatory (NR,Research Laboratory,../job_view?JobID=32748
5350,5350,2006,6,2006,Postdoctoral Position in Neutron Star Astrophysics - JRID26751,PostV,McGill University,Foreign,../job_view?JobID=26751
5351,5351,2006,6,2006,Physicist - JRID26757,PostV,Max-Planck-Institute for Extraterrestial,Foreign,../job_view?JobID=26757
5352,5352,2006,6,2006,Academic Fellowship in Astronomy - JRID26754,TT,University of Hertfordshire,Foreign,../job_view?JobID=26754
5353,5353,2012,9,2012,ONE advanced SO fellowship on SOLAR PHYSICS (SOLPD5) 2012 - JRID42730,Post-doctoral Positions and Fellowships,INSTITUTO DE ASTROFISICA DE CANARIAS,Large Academic,../job_view?JobID=42730
5354,5354,2008,10,2008,Three Tenured Junior Faculty in Astrophysics at the University of Paris D. Diderot - JRID32745,Faculty Positions (tenure and tenure-track),University of Paris D. Diderot,Foreign,../job_view?JobID=32745
5355,5355,2014,10,2014,"Postdoctoral Positions in Gravity, Cosmology, and Astrophysics - JRID49247",Post-doctoral Positions and Fellowships,"UW-Milwaukee, Dept of Physics",Large Academic,../job_view?JobID=49247
5356,5356,2004,9,2004,Orbital Carbon Observatory Space Instrument Systems Scientist 06-03 - JRID22872,Rsrch,Hamilton Sundstrand,Industry,../job_view?JobID=22872
5357,5357,2004,10,2004,Postdoctoral position on GALEX: Galaxy Evolution and Large Scale Structure - JRID22875,PostV,Laboratoire d'Astrophysique de Marseille,Foreign,../job_view?JobID=22875
5358,5358,2014,3,2013,Intern - Astronomy Research - Galaxy Cluster Project  - JRID47851,Scientific/Technical Staff,Gemini Observatory,Other,../job_view?JobID=47851
5359,5359,2005,5,2004,TECHNICAL STAFF MEMBER IN ASTROPHYSICS - JRID24444,Other,PRINCETON UNIVERSITY,Large Academic,../job_view?JobID=24444
5360,5360,2004,10,2004,Postdoctoral position on GALEX: Evolution of star formation in clusters - JRID22878,PostV,Laboratoire d'Astrophysique de Marseille,Foreign,../job_view?JobID=22878
5361,5361,2008,10,2008,"Assistant Professor of Astronomy, Data Mining - JRID32445",Faculty Positions (tenure and tenure-track),"University of Michigan, Department of As",Large Academic,../job_view?JobID=32445
5362,5362,2005,5,2004,Software Developer for Survey Astronomy - JRID24441,Other,University of Edinburgh,Foreign,../job_view?JobID=24441
5363,5363,2014,3,2013,Deputy Director LSST - JRID47857,Science Management,AURA/LSST,Other,../job_view?JobID=47857
5364,5364,2015,9,2015,Assistant or Associate Professor of Physics Education or Theoretical Physics - JRID51527,Faculty Positions (tenure and tenure-track),Michigan State University,Large Academic,../job_view?JobID=51527
5365,5365,2010,11,2010,Postdoctoral Fellowships in high energy astrophysics and physical cosmology - JRID38079,Post-doctoral Positions and Fellowships,Max-Planck-Institut fuer Astrophysik,Foreign,../job_view?JobID=38079
5366,5366,2016,2,2015,"Postdoctoral Fellowships in Astrophysics, University of Science and Technology of China - JRID53514",Post-doctoral Positions and Fellowships,University of Science and Technology of China,Foreign,../job_view?JobID=53514
5367,5367,2004,8,2004,Postdoctoral and Senior Research Awards in the Space and Planetary Sciences - JRID21996,PostV,National Research Council of the Nationa,Other,../job_view?JobID=21996
5368,5368,2004,3,2003,Postdoctoral and Senior Research Awards in the Space and Planetary Sciences - JRID21990,PostV,National Research Council of the Nationa,Other,../job_view?JobID=21990
5369,5369,2016,2,2015,Tenure and Tenure-track Faculty positions in Astronomy - University of Science and Technology of China - JRID53510,Faculty Positions (tenure and tenure-track),University of Science and Technology of China,Foreign,../job_view?JobID=53510
5370,5370,2015,12,2015,Science Operations Specialist - JRID53045,Scientific/Technical Staff,AURA/NSO DKIST,Other,../job_view?JobID=53045
5371,5371,2004,5,2003,Postdoctoral and Senior Research Awards in the Space and Planetary Sciences - JRID21993,PostV,National Research Council of the Nationa,Other,../job_view?JobID=21993
5372,5372,2010,11,2010,Extragalactic Astronomy Postdoctoral Positions - JRID38070,Post-doctoral Positions and Fellowships,Texas A&amp;M University,Large Academic,../job_view?JobID=38070
5373,5373,2010,11,2010,Postdoctoral associate: Data management and analysis for the MUSE/VLT instrument - JRID38073,Post-doctoral Positions and Fellowships,"Leiden Observatory, Leiden University",Foreign,../job_view?JobID=38073
5374,5374,2004,10,2004,Postdoctoral and Senior Research Awards in the Space and Planetary Sciences - JRID21999,PostV,National Research Council of the Nationa,Other,../job_view?JobID=21999
5375,5375,2010,11,2010,Post Doctoral Position on Galactic and CMB polarization - JRID38076,Post-doctoral Positions and Fellowships,Institut d'Astrophysique Spatiale,Foreign,../job_view?JobID=38076
5376,5376,2015,12,2015,MAX PLANCK TANDEM GROUP IN ASTRONOMY IN THE FIELD OF STAR AND PLANET FORMATION  - JRID52938,Faculty Positions (tenure and tenure-track),Universidad de Valparaiso,Large Academic,../job_view?JobID=52938
5377,5377,2005,10,2005,Postdoctoral Scholar in Astronomy - JRID25065,PostV,California Institute of Technology,Small Academic,../job_view?JobID=25065
5378,5378,2008,6,2008,"Systems Engineering Group Leader, LSST Corporation - JRID31809",Science Engineering,National Optical Astronomy Observatory,Other,../job_view?JobID=31809
5379,5379,2014,11,2014,Postoctoral Research Associate - Protoplanetary Discs - JRID49537,Post-doctoral Positions and Fellowships,"Institute of Astronomy, University of Cambridge, UK",Foreign,../job_view?JobID=49537
