,i,year,month,acyear,title,category,inst,instclass,url,country
13,13,2018,10,2018,Postdoctoral associate position in cosmology,Post-doctoral Positions and Fellowships,New York University,Large Academic,/ad/11a2665a,United States of America
14,14,2017,3,2016,Software Engineer (551-500),Science Engineering,USRA,Other,/ad/94f6370a,United States of America
15,15,2018,3,2017,One Postdoctoral Contract Starbursts VI 2018,Post-doctoral Positions and Fellowships,INSTITUTO DE ASTROFÃçSICA DE CANARIAS,Government Agency,/ad/18d2680f,Spain
16,16,2019,2,2018,"Post-Doctoral Position in Observational, Theoretical or Computational Astrophysics/Cosmology",Post-doctoral Positions and Fellowships,University of California,Large Academic,/ad/20fe9af9,United States of America
17,17,2018,7,2018,Lecturer in Exoplanet Physics ,Faculty Positions (tenure and tenure-track),Imperial College London,Foreign,/ad/6b275927,United Kingdom of Great Britain and Northern Ireland
18,18,2018,11,2018,Lecturer,Faculty Positions (tenure and tenure-track),University of Central Florida,Large Academic,/ad/c4eb8df2,United States of America
19,19,2017,7,2017,"Post-doctoral position in stellar/Galactic astrophysic at the Dr. Remeis-Sternwarte Bamberg, University of Erlangen-Nuremberg (Germany)",Post-doctoral Positions and Fellowships,University of Erlangen-Nuremberg,Foreign,/ad/36eac2e4,Germany
20,20,2016,10,2016,2017 Giaconni Postdoctoral Fellowship and the 2017 Lasker Data Science Fellowship,Post-doctoral Positions and Fellowships,Space Telescope Science Institute,Other,/ad/dc686f7d,United States of America
21,21,2018,3,2017,Hosting offer for applicants for grants from Polish National Science Center,Post-doctoral Positions and Fellowships,Nicolaus Copernicus Astronomical Center of the Polish Academy of Sciences,Foreign,/ad/23ed27cf,Poland
22,22,2018,2,2017,Astrophysicist (Postdoctoral Research Fellow),Post-doctoral Positions and Fellowships,Smithsonian Astrophysical Observatory,Government Agency,/ad/dad8853f,United States of America
23,23,2018,2,2017,"Postdoctoral Fellowship Position in Astronomy, Kapteyn Institute",Post-doctoral Positions and Fellowships,University of Groningen,Foreign,/ad/1a432657,Netherlands
24,24,2018,10,2018,Assistant Professor in Observational Astronomy,Faculty Positions (tenure and tenure-track),Durham University,Foreign,/ad/7d2792cf,United Kingdom of Great Britain and Northern Ireland
25,25,2018,4,2017,Postdoctoral research position on pulsars,Post-doctoral Positions and Fellowships,Wuhan University,Large Academic,/ad/4935ff27,China
26,26,2019,1,2018,"Assistant, associate and full professorships",Faculty Positions (tenure and tenure-track),"Technion Israel Institute of Technology - Guangdong , China",Foreign,/ad/3ac78833,China
27,27,2018,1,2017,Carnegie Postdoc in Dark Matter Theory,Post-doctoral Positions and Fellowships,Carnegie Institution for Science,Large Academic,/ad/045057e7,United States of America
28,28,2018,8,2018,Carnegie Origins Postdoctoral Fellowship,Post-doctoral Positions and Fellowships,Carnegie Observatories,Small Academic,/ad/eb2b2e5e,United States of America
29,29,2018,10,2018,ASTRO 3D Postdoctoral Research Associate in galaxy evolution and integral field spectroscopy,Post-doctoral Positions and Fellowships,University of Sydney,Large Academic,/ad/cea30012,Australia
30,30,2017,1,2016,Visiting Assistant Professor in Astronomy,Faculty Positions (visiting and non-tenure),Indiana University,Large Academic,/ad/f15a4cb9,United States of America
31,31,2018,3,2017,Assistant Professor in Astronomy &amp; Astrophysics / Space Science,Faculty Positions (tenure and tenure-track),United Arab Emirates University (UAEU),Large Academic,/ad/49edcbea,United Arab Emirates
32,32,2017,1,2016,Postdoctoral Fellow in Near Field Cosmology,Post-doctoral Positions and Fellowships,University of Sydney,Foreign,/ad/a8f69809,Australia
33,33,2017,12,2017,Assistant Scientist or Software Engineer III,Scientific/Technical Staff,National Radio Astronomy Observatory,Research Laboratory,/ad/5bae3a8b,United States of America
34,34,2018,10,2018,Postdoctoral Scholar in Exoplanets/Substellar Companions,Post-doctoral Positions and Fellowships,UC San Diego,Large Academic,/ad/aecacbd2,United States of America
35,35,2016,11,2016,Postdoc Positions in Theoretical Astrophysics and Cosmology,Post-doctoral Positions and Fellowships,Heidelberg Institute for Theoretical Studies,Small Academic,/ad/9a08d3e7,Germany
36,36,2016,10,2016,NASA Postdoctal Fellowships in Astrophysics at Goddard Space Flight Center,Post-doctoral Positions and Fellowships,NASA's Goddard Space Flight Center,Government Agency,/ad/1c322a2e,United States of America
37,37,2018,5,2017,Sabbatical Visiting Researcher ,Faculty Positions (visiting and non-tenure),"Simons Foundation, Flatiron Institute",Other,/ad/8d62078f,United States of America
38,38,2016,8,2016,Las Campanas Observatory Director,Science Management,Carnegie Observatories,Large Academic,/ad/c6de4958,United States of America
39,39,2017,9,2017,CEICO Senior and Junior Postdoctoral Research positions in Photosensors for cosmological observations,Post-doctoral Positions and Fellowships,Institute of Physics of the Czech Academy of Sciences,Research Laboratory,/ad/6b5ffe05,Czech Republic
40,40,2017,5,2016,Observing Assistant,Other,W. M. Keck Observatory,Other,/ad/3446ad23,United States of America
41,41,2017,10,2017,Postdoctoral Positions in Astronomy &amp; Astrophysics,Post-doctoral Positions and Fellowships,University of Haifa,Large Academic,/ad/1689e0b1,Israel
42,42,2016,12,2016,ERC-funded Postdoctoral Position in High-z Galaxy Evolution ,Post-doctoral Positions and Fellowships,University of Groningen,Large Academic,/ad/0f187f86,Netherlands
43,43,2017,9,2017,Postdoctoral Position in Galactic Archaeology and Large Survey Science,Post-doctoral Positions and Fellowships,Carnegie Mellon University,Large Academic,/ad/9c7bc4ec,United States of America
44,44,2016,9,2016,Postdoctoral position in stellar populations at Universidad de Concepcion,Post-doctoral Positions and Fellowships,Universidad de Concepcion,Large Academic,/ad/e4a3d819,Chile
45,45,2018,8,2018,Several PhD Positions in Astronomy &amp; Astrophysics,Pre-doctoral/Graduate Positions,International Max Planck Research School Heidelberg,Foreign,/ad/9cc00548,Germany
46,46,2017,6,2017,ONE IAC POSTDOCTORAL FELLOWSHIP IN GALAXIES,Post-doctoral Positions and Fellowships,Instituto de AstrofÃ_sica de Canarias,Government Agency,/ad/384d57ea,Spain
47,47,2016,8,2016,Assistant Professor - Experimental Astrophysics or Astronomical Instrumentation - University of Toronto,Faculty Positions (tenure and tenure-track),University of Toronto,Large Academic,/ad/9c76590c,Canada
48,48,2018,2,2017,Postdoctoral research position on distant star-forming galaxies,Post-doctoral Positions and Fellowships,University of Geneva,Foreign,/ad/0554de7f,Switzerland
49,49,2017,12,2017,Postdoctoral Research Fellow Position in Computational Stellar Astrophysics,Post-doctoral Positions and Fellowships,University of Exeter,Large Academic,/ad/f6f2f6a1,United Kingdom of Great Britain and Northern Ireland
50,50,2018,7,2018,One Postdoctoral Contract ERC Advanced Grant POLMAG 2018,Post-doctoral Positions and Fellowships,INSTITUTO DE ASTROFÃçSICA DE CANARIAS,Government Agency,/ad/0e967bbb,Spain
51,51,2017,9,2017,JAXA International Top Young Fellowship(ITYF) 2017Fall,Post-doctoral Positions and Fellowships,Japan Aerospace Exploration Agency,Foreign,/ad/2712e4fc,Japan
52,52,2017,10,2017,Postdoctoral Scholar  NuSTAR  Space Sciences Laboratory,Post-doctoral Positions and Fellowships,"University of California, Berkeley",Large Academic,/ad/199bead5,United States of America
53,53,2019,2,2018,Lecturer/Senior Lecturer/Reader in Astrophysics (Mathematics and Physics),Faculty Positions (tenure and tenure-track),University of Dundee,Large Academic,/ad/9c3ec946,United Kingdom of Great Britain and Northern Ireland
54,54,2016,7,2016,Postdoctoral Position: MIT TESS Pipeline Scientist ,Post-doctoral Positions and Fellowships,Massachusetts Institute of Technology Kavli Institute for Astrophysics and Space Research,Large Academic,/ad/30436246,United States of America
55,55,2016,8,2016,Two PhD positions in Astronomical Instrumentation at Leiden Observatory,Pre-doctoral/Graduate Positions,"Leiden Observatory, Leiden University",Large Academic,/ad/676a8fa7,Netherlands
56,56,2019,1,2018,"Director, NASA Academic Mission Services (NAMS)",Science Management,Universities Space Research Association,Other,/ad/146cefb1,United States of America
57,57,2018,10,2018,Adaptive Optics Science Postdoctoral Fellowship â€“ ID# 18537,Post-doctoral Positions and Fellowships,Institute for Astronomy,Research Laboratory,/ad/cdaa35c0,United States of America
58,58,2017,1,2016,Research and Instrument Analyst,Other,Space Telescope Science Institute,Other,/ad/53748ff1,United States of America
59,59,2017,10,2017,Lecturer in Observational Astrophysics,Faculty Positions (tenure and tenure-track),Lancaster University,Large Academic,/ad/4de4835a,United Kingdom of Great Britain and Northern Ireland
60,60,2017,10,2017,Postdoctoral Positions in Galactic Archaeology and Dynamics with Gaia,Post-doctoral Positions and Fellowships,University of Toronto,Large Academic,/ad/e3e73c52,Canada
61,61,2017,9,2017,Faculty Position in Astrophysics,Faculty Positions (tenure and tenure-track),Bowdoin College,Small Academic,/ad/a104b286,United States of America
62,62,2017,7,2017,"Three Post Graduate positions at The Centre for Electronic Imaging, The Open University",Post-doctoral Positions and Fellowships,The Open University,Large Academic,/ad/32131083,United Kingdom of Great Britain and Northern Ireland
63,63,2016,10,2016, CCAPP Postdoctoral Fellows,Post-doctoral Positions and Fellowships,"Center for Cosmology and AstroParticle Physics (CCAPP), The Ohio State University",Large Academic,/ad/c3e3f5bf,United States of America
64,64,2018,9,2018,Cosmology postdoc position at Ohio University,Post-doctoral Positions and Fellowships,Ohio University,Large Academic,/ad/3c768430,United States of America
65,65,2017,9,2017,"Postdoctoral Fellowship in Galaxy Evolution, ISM, IGM, and Cosmology",Post-doctoral Positions and Fellowships,Tel Aviv University,Large Academic,/ad/4f29c373,Israel
66,66,2018,10,2018,Postdoctoral position in theoretical and numerical astrophysics,Post-doctoral Positions and Fellowships,CEA-Saclay and Center of Research in Astrophysics of Lyon,Research Laboratory,/ad/d9259a43,France
67,67,2017,11,2017,Assistant Professor of Physics,Faculty Positions (tenure and tenure-track),University of Tampa,Large Academic,/ad/c8a50656,United States of America
68,68,2017,1,2016,Postdoctoral Associate in Observational Cosmology,Post-doctoral Positions and Fellowships,Massachusetts Institute of Technology Kavli Institute for Astrophysics and Space Research,Large Academic,/ad/20039f54,United States of America
69,69,2018,11,2018,Senior Lecturer of Computational Science and Data Science,Faculty Positions (visiting and non-tenure),Harvard,Large Academic,/ad/4ac4336b,United States of America
70,70,2017,9,2017,Postdoctoral Associate - Exoplanet Research,Post-doctoral Positions and Fellowships,Massachusetts Institute of Technology,Large Academic,/ad/24c00366,United States of America
71,71,2018,2,2017,Postdoctoral Research Fellow -- Galactic Plane radio surveys,Post-doctoral Positions and Fellowships,University of Hertfordshire,Large Academic,/ad/170a1346,United Kingdom of Great Britain and Northern Ireland
72,72,2016,8,2016,"Faculty Positions in Astronomy and Astrophysics, Tata Institute of Fundamental Research, Mumbai, India",Faculty Positions (tenure and tenure-track),Tata Institute of Fundamental Research,Research Laboratory,/ad/bb00bf15,India
73,73,2018,9,2018,Postdoctoral fellowship in The Center for Astrophysics and Planetary Science at the Hebrew University of Jerusalem ,Post-doctoral Positions and Fellowships,The Hebrew University of Jerusalem,Large Academic,/ad/e6dd91a3,Israel
74,74,2018,9,2018,Assistant Professor Position at the University of Virginia,Faculty Positions (tenure and tenure-track),University of Virginia,Large Academic,/ad/6516c644,United States of America
75,75,2017,2,2016,"Tenure-track position in Astrophysics and Particle Astrophysics, Queen's University, Kingston, Canada",Faculty Positions (tenure and tenure-track),"Queen's University, Kingston Canada",Large Academic,/ad/6fde8801,Canada
76,76,2017,9,2017,Tenure Track Assistant Professor in Astronomy and Astrophysics,Faculty Positions (tenure and tenure-track),"California State Polytechnic University, Pomona",Large Academic,/ad/ebd52193,United States of America
77,77,2017,12,2017,"Faculty Positions in Department of Astronomy, University of Science and Technology of China",Faculty Positions (tenure and tenure-track),University of Science and Technology of China,Foreign,/ad/fc227e45,China
78,78,2017,1,2016,Postdoctoral position in Cosmology at ICC (Barcelona),Post-doctoral Positions and Fellowships,Instituto de Ciencias del Cosmos (ICC) Universidad de Barcelona,Large Academic,/ad/ef2a86cf,Spain
79,79,2018,9,2018,PhD positions at the Australian National University / Mt. Stromlo Observatory,Pre-doctoral/Graduate Positions,Australian National University,Large Academic,/ad/48281dae,Australia
80,80,2018,1,2017,Scientist I-II (705-400),Scientific/Technical Staff,Universities Space Research Association,Other,/ad/b47f0fa8,United States of America
81,81,2017,9,2017,PhD Positions at the Kapteyn Institute Groningen,Pre-doctoral/Graduate Positions,University of Groningen,Foreign,/ad/a7f35d1f,Netherlands
82,82,2018,12,2018,Post-Doctoral Research Associate in Exoplanetary Science,Post-doctoral Positions and Fellowships,UNSW Sydney,Large Academic,/ad/515b2696,Australia
83,83,2018,11,2018,Astrophysical Transients Postdoctoral Researcher- #24736,Post-doctoral Positions and Fellowships,Space Telescope Science Institute,Other,/ad/df93396a,United States of America
84,84,2018,9,2018,Senior Instrument Engineer- #02915,Science Engineering,Space Telescope Science Institute,Other,/ad/70188adf,United States of America
85,85,2018,12,2018,Postdoctoral Research Associate I,Post-doctoral Positions and Fellowships,University of Arizona,Large Academic,/ad/36174cbd,United States of America
86,86,2018,9,2018,"Research Fellow, Global Epoch of Reionisation Signal",Post-doctoral Positions and Fellowships,Curtin University,Large Academic,/ad/6bc46276,Australia
87,87,2017,10,2017,Assistant Professor of Physics,Faculty Positions (tenure and tenure-track),University of Tampa,Large Academic,/ad/1bb62190,United States of America
88,88,2018,5,2017,Postdoctoral position on lensing transients,Post-doctoral Positions and Fellowships,Max Planck Institute for Astrophysics,Foreign,/ad/15d04bc7,Germany
89,89,2017,10,2017,Postdoctoral Scholar in Gravitational-Wave Physics,Post-doctoral Positions and Fellowships,The Pennsylvania State University,Large Academic,/ad/b0c77b91,United States of America
90,90,2016,10,2016,Postdoctoral Scholar in Computational Astrophysics at the University of Florida,Post-doctoral Positions and Fellowships,University of Florida,Large Academic,/ad/b6f701f8,United States of America
91,91,2016,11,2016,Lead Web Application Developer ,Scientific/Technical Staff,AURA/NOAO,Research Laboratory,/ad/bc2acbc9,United States of America
92,92,2017,3,2016,CHARA Array Data Scientist ,Scientific/Technical Staff,Georgia State University,Large Academic,/ad/dc38deb1,United States of America
93,93,2018,10,2018,Research Associate in Radio Astronomy: Covington Fellowship,Post-doctoral Positions and Fellowships,National Research Council of Canada,Government Agency,/ad/a2c56db6,Canada
94,94,2016,6,2016,Resident Astronomer.,Scientific/Technical Staff,Canada-France-Hawaii Telescope.,Other,/ad/7c59aa46,United States of America
95,95,2018,3,2017,One Postdoctoral Contract ERC PI2FA Computing 2018,Post-doctoral Positions and Fellowships,INSTITUTO DE ASTROFÃçSICA DE CANARIAS,Government Agency,/ad/f3d15f17,Spain
96,96,2016,11,2016,Postdoctoral Research Associate in Extragalactic Astronomy at UT Austin,Post-doctoral Positions and Fellowships,The University of Texas at Austin,Large Academic,/ad/03dc0b83,United States of America
97,97,2017,11,2017,"Assistant Professor, Teaching Stream, Position in Physics",Faculty Positions (visiting and non-tenure),University of Toronto Scarborough,Large Academic,/ad/95ad64a7,Canada
98,98,2016,9,2016,Junior Telescope Scientist (f/m),Post-doctoral Positions and Fellowships,"ASTRON, Netherlands Institute for Radio Astronomy",Foreign,/ad/e2c1e7cd,Netherlands
99,99,2018,11,2018,Postdoctoral Position in Galaxy Formation and Evolution,Post-doctoral Positions and Fellowships,Chalmers University of Technology,Large Academic,/ad/258fef39,Sweden
100,100,2018,7,2018,Faculty Position in Space-Based Instrumentation at the University of Iowa,Faculty Positions (tenure and tenure-track),University of Iowa,Large Academic,/ad/4453147a,United States of America
101,101,2018,9,2018,ESO Fellowship Programme Europe and Chile 2018/2019,Post-doctoral Positions and Fellowships,European Southern Observatory,Other,/ad/8c670e4a,Germany
102,102,2017,10,2017,Postdoctoral positions in astrophysics,Post-doctoral Positions and Fellowships,Max Planck Institut fuer Astrophysik,Foreign,/ad/623bc1b8,Germany
103,103,2017,12,2017,Postdoctoral Research Associate in Exoplanet Studies,Post-doctoral Positions and Fellowships,The University of Arizona,Large Academic,/ad/770e6378,United States of America
104,104,2016,11,2016,Beecroft Fellowship in Cosmology ,Post-doctoral Positions and Fellowships,University of Oxford,Large Academic,/ad/38b841cb,United Kingdom of Great Britain and Northern Ireland
105,105,2018,6,2018,Electronics Engineer,Scientific/Technical Staff,Smithsonian Astrophysical Observatory,Government Agency,/ad/bbbbd8da,United States of America
106,106,2016,11,2016,Oort Postdoctoral Fellowship 2017,Post-doctoral Positions and Fellowships,"Leiden Observatory, Leiden University",Foreign,/ad/318d96c7,Netherlands
107,107,2018,1,2017,Postdoctoral Researcher in Solar Physics,Post-doctoral Positions and Fellowships,Leibniz Institute for Astrophysics Potsdam (AIP),Foreign,/ad/97f6b790,Germany
108,108,2017,1,2016,Postdoctoral Research Fellow in Cosmology at University of Oslo - one more,Post-doctoral Positions and Fellowships,University of Oslo,Large Academic,/ad/e9c3449c,Norway
109,109,2016,10,2016,Assistant/Associate Professor (tenure-track) in Astrophysics -Stony Brook University,Faculty Positions (tenure and tenure-track),Stony Brook University,Other,/ad/b37d93cc,United States of America
110,110,2017,9,2017,"Postdoctoral Research Positions in Time-Domain Astrophysics (Transients, Gravitational Waves, Star/Exoplanet Magnetic Activity)",Post-doctoral Positions and Fellowships,Harvard University,Large Academic,/ad/a9a6604e,United States of America
111,111,2018,8,2018,Research Associate: The Radio Sky,Post-doctoral Positions and Fellowships,University of Hertfordshire,Large Academic,/ad/8ed0fb11,United Kingdom of Great Britain and Northern Ireland
112,112,2019,2,2018,Astrophysicist (Post-Doctoral Research Fellow),Post-doctoral Positions and Fellowships,Smithsonian Astrophysical Observatory,Government Agency,/ad/c5653fe6,United States of America
113,113,2016,10,2016,NRAO- Assistant/Associate Scientist (open rank),Scientific/Technical Staff,National Radio Astronomy Observatory,Other,/ad/7bf547cb,United States of America
114,114,2016,9,2016,Postdoctoral Scholar in X-ray Astrophysics of Compact Objects,Post-doctoral Positions and Fellowships,"University of California, San Diego",Large Academic,/ad/42a8b0ff,United States of America
115,115,2017,12,2017,"Postdoctoral Research Fellow in Theoretical and Computational Astrophysics, Steward Observatory/University of Arizona (Multiple Positions)",Post-doctoral Positions and Fellowships,University of Arizona,Large Academic,/ad/50522fd3,United States of America
116,116,2017,9,2017,"Associate or Assistant Professor in Solar, Space or Planetary Science",Faculty Positions (tenure and tenure-track),UNIVERSITY OF NEW HAMPSHIRE,Large Academic,/ad/5d2171f5,United States of America
117,117,2018,10,2018,Postdoctoral Position(s) at the ALMA ARC node at Leiden Observatory,Post-doctoral Positions and Fellowships,Leiden Observatory,Large Academic,/ad/a10f77f8,Netherlands
118,118,2016,12,2016,Postdoctoral Research Associate - Astronomy,Post-doctoral Positions and Fellowships,University of Massachusetts Amherst,Large Academic,/ad/8ec3cd85,United States of America
119,119,2018,8,2018,Software Engineer,Science Engineering,Large Binocular Telescope Observatory,Other,/ad/54f0c967,United States of America
120,120,2019,1,2018,Research Associate- Galaxy Evolution,Post-doctoral Positions and Fellowships,University of Washington,Large Academic,/ad/3a362758,United States of America
121,121,2018,8,2018,Carnegie Postdoctoral Fellowship,Post-doctoral Positions and Fellowships,Carnegie Observatories,Small Academic,/ad/0c607c1a,United States of America
122,122,2016,11,2016,Postdoc in Galactic/Extragalactic Astronomy,Post-doctoral Positions and Fellowships,University of Utah,Large Academic,/ad/bb2b9379,United States of America
123,123,2016,10,2016,Research Associate - Center for Exoplanets and Habitable Worlds (CEHW),Post-doctoral Positions and Fellowships,Penn State University,Large Academic,/ad/79d7f28d,United States of America
124,124,2019,2,2018,PhD program at Laboratoire d'Astrophysique de Marseille,Pre-doctoral/Graduate Positions,Laboratoire d'Astrophysique de Marseille,Research Laboratory,/ad/92dda10b,France
125,125,2017,7,2017,Postdoctoral Research Fellow position on DESI,Post-doctoral Positions and Fellowships,Southern Methodist University,Large Academic,/ad/bb570ea1,United States of America
126,126,2017,9,2017,Head of Research,Faculty Positions (tenure and tenure-track),Armagh Observatory and Planetarium,Small Academic,/ad/42eb05b7,United Kingdom of Great Britain and Northern Ireland
127,127,2019,5,2018,PhD position in High Energy Astrophysics: Stellar winds in massive stars and accretion processes onto compact objects,Pre-doctoral/Graduate Positions,"Institute for Astronomy and Astrophysics, University of TÃ_bingen",Large Academic,/ad/a9dd1640,Germany
128,128,2017,8,2017,Postdoctoral Researcher,Post-doctoral Positions and Fellowships,University of Michigan,Large Academic,/ad/2ab5d816,United States of America
129,129,2016,8,2016,ESA Research Fellowships in Space Science,Post-doctoral Positions and Fellowships,European Space Agency,Foreign,/ad/6609a712,Netherlands
130,130,2018,11,2018,Assistant Professor Job #12560,Faculty Positions (tenure and tenure-track),Arizona State University,Large Academic,/ad/addb7170,United States of America
131,131,2018,10,2018,Physicist Staff Scientist ,Scientific/Technical Staff,Lawrence Berkeley National Laboratory,Research Laboratory,/ad/13b7b55d,United States of America
132,132,2016,9,2016,Harlan J. Smith Postdoctoral Fellowship,Post-doctoral Positions and Fellowships,University of Texas at Austin-McDonald Observatory,Large Academic,/ad/d08591b6,United States of America
133,133,2019,3,2018,Post-doctoral position in Evolved Stars research,Post-doctoral Positions and Fellowships,Chalmers University of Technology,Large Academic,/ad/5cb27675,Sweden
134,134,2018,9,2018,Nordita Fellowships 2019-2021,Post-doctoral Positions and Fellowships,"Nordita, the Nordic Institute for Theoretical Physics",Small Academic,/ad/603cadc0,Sweden
135,135,2017,5,2016,Telescope Operator,Scientific/Technical Staff,AURA/NOAO,Other,/ad/bd48e50d,United States of America
136,136,2018,10,2018,Postdoctoral Fellow in Observational Astrophysics,Post-doctoral Positions and Fellowships,University of South Carolina,Large Academic,/ad/32afc587,United States of America
137,137,2018,2,2017,European ALMA Programme Scientist ,Other,European Southern Observatory,Other,/ad/02ce70fd,Germany
138,138,2016,12,2016,Project Scientist for data pipeline development and data analysis support for UCO,Scientific/Technical Staff,University of California Santa Cruz,Large Academic,/ad/12e6564e,United States of America
139,139,2016,12,2016,Postdoctoral Positions to Pursue Observational Studies of High Redshift Galaxies,Post-doctoral Positions and Fellowships,Leiden University,Large Academic,/ad/aded9552,Netherlands
140,140,2016,11,2016,LSST Survey Scientist,Scientific/Technical Staff,LSST/AURA,Other,/ad/6207c542,United States of America
141,141,2017,10,2017,Postdoctoral Research Fellowship in astrophysics,Post-doctoral Positions and Fellowships,University of Oslo,Large Academic,/ad/81f43719,Norway
142,142,2019,3,2018,Postdoctoral Research Assistant in The Formation of Circumbinary Planets ,Post-doctoral Positions and Fellowships,Queen Mary University of London,Large Academic,/ad/62147bc0,United Kingdom of Great Britain and Northern Ireland
143,143,2018,2,2017,"PhD position at Center for Theoretical Physics, Warsaw, Poland",Pre-doctoral/Graduate Positions,"Center for Theoretical Physics, Warsaw, Poland",Small Academic,/ad/d7761357,Poland
144,144,2016,12,2016,Research Fellow in Cosmological Perturbations,Post-doctoral Positions and Fellowships,University of Portsmouth,Large Academic,/ad/0dbc3b12,United Kingdom of Great Britain and Northern Ireland
145,145,2017,1,2016,"Research Scientist, Minor Planet Center",Scientific/Technical Staff,University of Maryland,Large Academic,/ad/1747420b,United States of America
146,146,2018,10,2018,"Postdoctoral Research Position, Caltech High Energy Astrophysics",Post-doctoral Positions and Fellowships,California Institute of Technology,Large Academic,/ad/c09e27d8,United States of America
147,147,2017,4,2016,Associate Director for Mission Operations (553-500),Science Management,USRA,Other,/ad/062c571e,United States of America
148,148,2018,3,2017,a Postdoctoral Research Assistant in CMB Polarized Foregrounds.,Post-doctoral Positions and Fellowships,University of Oxford,Large Academic,/ad/aa47b35c,United Kingdom of Great Britain and Northern Ireland
149,149,2017,5,2016,Research Technologist (Science Planner),Scientific/Technical Staff,The Pennsylvania State University,Large Academic,/ad/f6a07dda,United States of America
150,150,2018,10,2018,DAWN fellowship at the Cosmic Dawn Center (post-doc or assistant professor level),Post-doctoral Positions and Fellowships,Cosmic DAWN Center,Large Academic,/ad/ddf8db51,Denmark
151,151,2017,1,2016,Instructor in Physics at Phillips Academy,Other,Phillips Academy,Small Academic,/ad/70985fc7,United States of America
152,152,2018,2,2017,"Visiting Assistant Professor, Physics and Astronomy",Faculty Positions (visiting and non-tenure),Bucknell University,Small Academic,/ad/517926ef,United States of America
153,153,2018,4,2017,Post-doctoral research associate in exoplanet atmospheres,Post-doctoral Positions and Fellowships,University of Arizona,Large Academic,/ad/b287efd1,United States of America
154,154,2018,10,2018,PhD positions at the University of Amsterdam,Pre-doctoral/Graduate Positions,University of Amsterdam,Foreign,/ad/559bd082,Netherlands
155,155,2018,9,2018,Assistant Professor of Physics,Faculty Positions (tenure and tenure-track),Rhodes College,Small Academic,/ad/36ef80e1,United States of America
156,156,2019,4,2018,Postdoc position in polarised radiative transfer,Post-doctoral Positions and Fellowships,Ghent University,Foreign,/ad/80e11d5c,Belgium
157,157,2018,8,2018,James Webb Space Telescope Postdoctoral Fellowships at NASAâ€™s Goddard Space Flight Center,Post-doctoral Positions and Fellowships,NASA's Goddard Space Flight Center,Government Agency,/ad/21e6d9b5,United States of America
158,158,2017,9,2017,IMAXT Astro-Medical Software/Database Developer,Scientific/Technical Staff,"Institute of Astronomy, University of Cambridge, UK",Foreign,/ad/4eb10908,United Kingdom of Great Britain and Northern Ireland
159,159,2016,12,2016,Post-doctoral Position in Observational Cosmology,Post-doctoral Positions and Fellowships,"Ecole Polytechnique FÃ©dÃ©rale de Lausanne, Institute of Physics, Laboratory of Astrophysics",Large Academic,/ad/920502ad,Switzerland
160,160,2017,2,2016,Postdoctoral position in distance scale group at Universidad de Concepcion,Post-doctoral Positions and Fellowships,Universidad de Concepcion,Large Academic,/ad/a1137c5c,Chile
161,161,2016,7,2016,Postdoctoral Position: TESS Guest Investigator Program Scientist,Post-doctoral Positions and Fellowships,Massachusetts Institute of Technology Kavli Institute for Astrophysics and Space Research,Large Academic,/ad/ab316fb9,United States of America
