,i,year,month,acyear,title,category,inst,instclass,url,country
74,74,2022,6,2022,Lecturer/Associate Professor in Theoretical Astrophysics,Faculty Positions (tenure and tenure-track),University of Leeds,Foreign,/ad/3e4d2c16,United Kingdom of Great Britain and Northern Ireland
75,75,2020,8,2020,Electronics Engineer,Science Engineering,Smithsonian Astrophysical Observatory,Government Agency,/ad/b579f630,United States of America
76,76,2022,8,2022,Giacconi &amp; Lasker Prize Fellowships,Post-doctoral Positions and Fellowships,Space Telescope Science Institute,Small Academic,/ad/1407aa95,United States of America
77,77,2021,9,2021,Assistant Professor in Astronomy,Faculty Positions (tenure and tenure-track),Dartmouth College,Small Academic,/ad/5b784709,United States of America
78,78,2020,12,2020,Postdoctoral Associate Position - Data Analysis Techniques and Science Applications for LISA Mission,Post-doctoral Positions and Fellowships,University of MD Baltimore County/NASA/GSFC/CRESST II,Research Laboratory,/ad/e4e79fb3,United States of America
79,79,2022,1,2021,Lead Project Engineer,Science Engineering,California Institute of Technology,Large Academic,/ad/e2f2a0a9,United States of America
80,80,2022,3,2021,Postdoc in Planet Formation at the GLOBE Institute ,Post-doctoral Positions and Fellowships,University of Copenhagen,Large Academic,/ad/4c3065b3,Denmark
81,81,2021,3,2020,Operations Scientist /SAFe® Product Manager,Science Engineering,SKA Organisation,Other,/ad/eaf424bc,United Kingdom of Great Britain and Northern Ireland
82,82,2021,11,2021,Postdoc - Theoretical/Computational Cosmology,Post-doctoral Positions and Fellowships,North Carolina State University,Large Academic,/ad/9259291b,United States of America
83,83,2020,9,2020,Postdoctoral Position in Radio Polarimetry,Post-doctoral Positions and Fellowships,University of Toronto,Large Academic,/ad/94a54c52,Canada
84,84,2021,5,2020,Case Western Reserve University Physics Lecturer,Faculty Positions (visiting and non-tenure),Case Western Reserve University,Large Academic,/ad/a4f80590,United States of America
85,85,2021,11,2021,Postdoctoral Research Associate in Experimental Cosmology,Post-doctoral Positions and Fellowships,"University of Illinois, Urbana-Champaign",Large Academic,/ad/45fbfbba,United States of America
86,86,2020,1,2019,Lecturer/Assistant Professor in Astronomy,Faculty Positions (tenure and tenure-track),University of Southampton,Large Academic,/ad/43f3e49e,United Kingdom of Great Britain and Northern Ireland
87,87,2021,9,2021,Postdoctoral Associate Positions in Observational Astronomy &amp; Astrophysics,Post-doctoral Positions and Fellowships,Northwestern University,Large Academic,/ad/9725f3fe,United States of America
88,88,2022,2,2021,Research Scientist/Engineer (Multiple Positions),Science Engineering,University of Washington,Large Academic,/ad/87b60b39,United States of America
89,89,2021,7,2021,"Assistant Professor, Department of Astronomy, Yale University",Faculty Positions (tenure and tenure-track),Yale University,Large Academic,/ad/9951f7e7,United States of America
90,90,2020,11,2020,Postdoctoral Research Position in Numerical Astrophysics and Galaxy Formation during the Epoch of Reionization,Post-doctoral Positions and Fellowships,Heidelberg University and Max Planck Institute for Astronomy,Other,/ad/a4bb4f0a,Germany
91,91,2021,8,2021,Open Rank (Tenure-Track/Tenured) Faculty Position in Space Physics at UCLA,Faculty Positions (tenure and tenure-track),University of California Los Angeles,Large Academic,/ad/11a0c1be,United States of America
92,92,2021,3,2020,Postdoctoral Researcher Position at the University of Minnesota,Post-doctoral Positions and Fellowships,University of Minnesota,Large Academic,/ad/a03ee3c7,United States of America
93,93,2021,11,2021,Postdoctoral scholar in experimental astrophysics and astronomical instrumentation,Post-doctoral Positions and Fellowships,University of Notre Dame,Large Academic,/ad/46723ef2,United States of America
94,94,2021,5,2020,PhD position in astrophysics,Pre-doctoral/Graduate Positions,Institut d'astrophysique spatiale (IAS),Foreign,/ad/4e38f7f8,France
95,95,2022,6,2022,BICEP Winter-over Scientist,Scientific/Technical Staff,University of Minnesota + Harvard University,Large Academic,/ad/39596701,Antarctica
96,96,2019,12,2019,Postdoctoral position in extragalactic HI  MeerKAT science,Post-doctoral Positions and Fellowships,University of Cape Town,Large Academic,/ad/f1499657,South Africa
97,97,2020,11,2020,Postdoctoral position in computational star and planet formation,Post-doctoral Positions and Fellowships,CRAL AstroENS,Large Academic,/ad/cabd17c6,France
98,98,2019,10,2019,Research Assistant Professor-Experimental Particle Physics,Faculty Positions (visiting and non-tenure),University of Chicago,Small Academic,/ad/a9a9bfc8,United States of America
99,99,2021,9,2021,Postdoctoral Scholar – Department of Astronomy,Post-doctoral Positions and Fellowships,"University of California, Berkeley",Large Academic,/ad/8a494c6c,United States of America
100,100,2019,8,2019,Astronomer (Tenure Track),Faculty Positions (tenure and tenure-track),National Radio Astronomy Observatory,Research Laboratory,/ad/b71054fc,United States of America
101,101,2021,9,2021,"Tenure-track Staff Position, Atmospheric Physics of Exoplanets (APEx) Department,  Max Planck Institute for Astronomy, Heidelberg (Ref. 327)",Faculty Positions (tenure and tenure-track),Max Planck Institute for Astronomy,Large Academic,/ad/35125695,Germany
102,102,2021,4,2020,Professor in Radio Astronomy ,Faculty Positions (tenure and tenure-track),University of the Witwatersrand,Large Academic,/ad/1c3030f8,South Africa
103,103,2021,8,2021,PhD and Master positions in Astrophysics at the Pontificia Universidad Católica de Chile,Pre-doctoral/Graduate Positions,Pontificia Universidad Catolíca de Chile (PUC),Large Academic,/ad/3787184b,Chile
104,104,2022,2,2021,Research Associate in Radio Astronomy: Covington Fellowship,Post-doctoral Positions and Fellowships,National Research Council,Government Agency,/ad/d7d2c32c,Canada
105,105,2020,9,2020,Postdoctoral Associate Positions in Observational Astronomy &amp; Astrophysics,Post-doctoral Positions and Fellowships,Northwestern University,Large Academic,/ad/f7c112b4,United States of America
106,106,2021,10,2021,Tenure-track Assistant Professor,Faculty Positions (tenure and tenure-track),Boston University,Large Academic,/ad/6c7de559,United States of America
107,107,2020,10,2020,Post- Doctoral Scholar - Physics,Post-doctoral Positions and Fellowships,University of California Merced,Large Academic,/ad/3d6d7683,United States of America
108,108,2022,6,2022,"Faculty Position in Astronomy, National Central University, Taiwan",Faculty Positions (tenure and tenure-track),National Central University,Foreign,/ad/15674ac5,Taiwan
109,109,2019,11,2019,Database Software Developer,Science Engineering,Max Planck Institute for Solar System Research,Foreign,/ad/ea1ebb2a,Germany
110,110,2019,12,2019,Project Scientist for the coordination of the Spanish participation in the SKA,Post-doctoral Positions and Fellowships,Institute of Astrophysics of Andalusia (CSIC),Large Academic,/ad/22990e17,Spain
111,111,2021,5,2020,Postdoctoral Position in Black Hole Astrophysics,Post-doctoral Positions and Fellowships,Chungbuk National University,Large Academic,/ad/cbde7d41,Korea (Republic of)
112,112,2021,10,2021,"Postdoctoral Fellowship in Galaxy Evolution, Interstellar Medium, and Star Formation",Post-doctoral Positions and Fellowships,Tel Aviv University,Large Academic,/ad/9d1f082f,Israel
113,113,2021,7,2021,Adaptive Optics Scientist ,Scientific/Technical Staff,AURA/NOIRLab/Gemini Observatory,Other,/ad/9bae9664,Chile
114,114,2022,6,2022,Research Scientist at Perimeter Institute (CHORD radio telescope),Scientific/Technical Staff,Perimeter Institute for Theoretical Physics,Small Academic,/ad/6ea277ff,Canada
115,115,2022,3,2021,Early Career Astronomy - Physics Lectureship,Faculty Positions (visiting and non-tenure),Central Michigan University,Large Academic,/ad/69f1b254,United States of America
116,116,2021,2,2020,2 PostDoc Fellowships in Exolife Science,Post-doctoral Positions and Fellowships,Copenhagen University,Large Academic,/ad/c255a3ac,Denmark
117,117,2022,9,2022,Ph.D. Scholarship in Astronomy &amp; Planetary Science at the University of Atacama,Pre-doctoral/Graduate Positions,Universidad de Atacama,Large Academic,/ad/2922654d,Chile
118,118,2021,9,2021,Beecroft Fellow,Post-doctoral Positions and Fellowships,University of Oxford,Large Academic,/ad/24b11a25,United Kingdom of Great Britain and Northern Ireland
119,119,2019,9,2019,David N. Schramm Postdoctoral Fellowship (Experimental Physics),Post-doctoral Positions and Fellowships,Fermilab,Research Laboratory,/ad/d578f36f,United States of America
120,120,2021,12,2021,PhD positions in Astrophysics and Astroinformatics,Pre-doctoral/Graduate Positions,Universidad de Antofagasta,Foreign,/ad/3c4af1d6,Chile
121,121,2021,1,2020,"Postdoctoral Positions at Eotvos University, Budapest, Hungary",Post-doctoral Positions and Fellowships,Eotvos University,Large Academic,/ad/a9dbe3d4,Hungary
122,122,2021,2,2020,Archive Science Application Branch Manager #0002074,Science Management,Space Telescope Science Institute,Other,/ad/fd53a132,United States of America
123,123,2021,12,2021,Astronomy Outreach Specialist,Other,AURA/Vera C. Rubin Observatory,Other,/ad/2dd31287,United States of America
124,124,2019,9,2019,CITA National Fellowship,Post-doctoral Positions and Fellowships,Various Canadian Universities,Large Academic,/ad/7494e364,Canada
125,125,2020,4,2019,NASA Headquarters Astrophysics Program Scientist,Science Management,NASA,Government Agency,/ad/8d061472,United States of America
126,126,2021,10,2021,Associate Professor – Theoretical Astrophysics,Faculty Positions (tenure and tenure-track),Canadian Institute for Theoretical Astrophysics,Large Academic,/ad/2d26bf19,Canada
127,127,2021,12,2021,Postdoctoral research positions in galaxy formation,Post-doctoral Positions and Fellowships,Lund University,Large Academic,/ad/298db849,Sweden
128,128,2020,10,2020,Staff Research Scientist in Astrochemistry,Scientific/Technical Staff,RIKEN,Foreign,/ad/311e8ac3,Japan
129,129,2021,10,2021,Gaia selection function: development and application,Post-doctoral Positions and Fellowships,Istituto Nazionale di Astrofisica,Research Laboratory,/ad/188b98ce,Italy
130,130,2020,8,2020,Postdoctoral positions on fast radio bursts and other fast radio transients,Post-doctoral Positions and Fellowships,ASTRON,Small Academic,/ad/f6feffba,Netherlands
131,131,2021,12,2021,PhD position: Atmospheric characterisation of exoplanets with the Near-InfraRed Planet Searcher (NIRPS) ,Pre-doctoral/Graduate Positions,University of Geneva,Large Academic,/ad/028ded50,Switzerland
132,132,2019,9,2019,e-MERLIN/VLBI Research Support Scientist (up to 2 posts available),Other,University of Manchester,Large Academic,/ad/5ea12071,United Kingdom of Great Britain and Northern Ireland
133,133,2021,9,2021,Postdoctoral Fellowships and Research Positions in the Galaxies and Cosmology Department at the Max Planck Institute for Astronomy (MPIA) in Heidelberg,Post-doctoral Positions and Fellowships,Max Planck Institute for Astronomy,Large Academic,/ad/e5f1621b,Germany
134,134,2022,5,2021,Professor/Reader of Statistics or Statistical Data Science,Post-doctoral Positions and Fellowships,Newcastle University,Foreign,/ad/abad8168,United Kingdom of Great Britain and Northern Ireland
135,135,2019,12,2019,Postdoctoral Research Assistant in Gravitational Wave Astrophysics,Post-doctoral Positions and Fellowships,Oxford University,Large Academic,/ad/40860834,United Kingdom of Great Britain and Northern Ireland
136,136,2020,12,2020,Assistant Professor of Physics and Astronomy ,Faculty Positions (tenure and tenure-track),Ball State University,Large Academic,/ad/ba7ba3f7,United States of America
137,137,2021,11,2021,Physicist Staff Scientist ,Scientific/Technical Staff,Lawrence Berkeley National Laboratory,Research Laboratory,/ad/ce983d78,United States of America
138,138,2020,11,2020,LMU-Munich LSST Postdoctoral Research Associates,Post-doctoral Positions and Fellowships,Ludwig-Maximilians-Universitaet (LMU-Munich),Large Academic,/ad/d43d0d38,Germany
139,139,2020,9,2020,"Faculty Positions in Astronomy, National Tsing Hua University, Taiwan",Faculty Positions (tenure and tenure-track),National Tsing Hua University,Foreign,/ad/2c81e6d6,Taiwan
140,140,2020,2,2019,Project Engineer,Science Engineering,Smithsonian Astrophysical Observatory,Government Agency,/ad/a2d18f4d,United States of America
141,141,2020,9,2020,CIERA Postdoctoral Fellowship Positions in Astronomy &amp; Astrophysics,Post-doctoral Positions and Fellowships,Northwestern University,Large Academic,/ad/6225babe,United States of America
142,142,2021,12,2021,Research Associate in Observational/Theoretical studies of Accretion Discs,Post-doctoral Positions and Fellowships,University of Leicester,Large Academic,/ad/8475573d,United Kingdom of Great Britain and Northern Ireland
143,143,2022,1,2021,Postdoctoral Researcher in Multi-wavelength Studies of Emission Line Galaxies,Post-doctoral Positions and Fellowships,Catholic University of America/NASA Goddard Space Flight Center,Large Academic,/ad/626fd6ec,United States of America
144,144,2021,9,2021,Optical Systems Engineer,Science Engineering,Science and Technology Facilities Council (STFC),Research Laboratory,/ad/4cb95104,United Kingdom of Great Britain and Northern Ireland
145,145,2021,3,2020,Postdoctoral Research Position in Millimeter Astronomy for NOEMA,Post-doctoral Positions and Fellowships,IRAM,Research Laboratory,/ad/a85aa414,France
146,146,2020,12,2020,Postdoctoral Research Position in  Observational Extragalactic Astrophysics,Post-doctoral Positions and Fellowships,Rochester Institute of Technology,Large Academic,/ad/791c9e1e,United States of America
147,147,2021,10,2021,Tenured or Tenure-Track Faculty Position in Astronomy and Astrophysics,Faculty Positions (tenure and tenure-track),Penn State University,Large Academic,/ad/d05291bc,United States of America
148,148,2021,10,2021,Postdoctoral researcher in extragalactic astronomy,Post-doctoral Positions and Fellowships,University of Victoria,Large Academic,/ad/11abc80d,Canada
149,149,2020,10,2020,Postdoc: Circumstellar Disks,Post-doctoral Positions and Fellowships,University of Oklahoma,Large Academic,/ad/280b2812,United States of America
150,150,2019,9,2019, Chief Telescope Technologist,Scientific/Technical Staff,Apache Point Observatory,Small Academic,/ad/8a66eb3b,United States of America
151,151,2020,10,2020,Postdoctoral Research Associate,Post-doctoral Positions and Fellowships,AURA,Other,/ad/85e74f39,United States of America
152,152,2020,10,2020,Post Doctoral Research Associate,Scientific/Technical Staff,AURA,Other,/ad/22ba7338,United States of America
153,153,2021,1,2020,Postdoctoral research position in UV astrophysics,Post-doctoral Positions and Fellowships,University of Arizona,Large Academic,/ad/2020bf20,United States of America
154,154,2021,9,2021,Research Associate in Exoplanets and/or Sub-Stellar Objects ,Post-doctoral Positions and Fellowships,Cornell University,Large Academic,/ad/92f8c087,United States of America
155,155,2022,1,2021,Postdoc Positions in ELT Instrumentation/Software Development,Post-doctoral Positions and Fellowships,"University of Innsbruck, Austria",Large Academic,/ad/fe1992cd,Austria
156,156,2021,6,2021,IRAM - Postdoctoral Research Position in Millimeter Astronomy for NOEMA,Post-doctoral Positions and Fellowships,IRAM - Institut de Radio Astronomie Millimétrique,Research Laboratory,/ad/cb01e5e1,France
157,157,2021,11,2021,Astrophysicist (Post-doctoral Research Fellow),Post-doctoral Positions and Fellowships,Smithsonian Astrophysical Observatory,Government Agency,/ad/9e8f8042,United States of America
158,158,2021,4,2020,Assistant Teaching Professor of Physics &amp; Astronomy,Faculty Positions (visiting and non-tenure),Ball State University,Large Academic,/ad/9221fa04,United States of America
159,159,2020,5,2019,IPAC at Caltech Seeks a Software Developer ,Science Engineering,Caltech/IPAC,Large Academic,/ad/c21f931b,United States of America
160,160,2021,2,2020,NASA's GSFC Astrophysics Division is hiring soon!,Scientific/Technical Staff,NASA's GSFC,Government Agency,/ad/1b4a4ff0,United States of America
161,161,2021,11,2021,Tenure-track Astrophysicist in the field of exoplanets or star-planet systems,Faculty Positions (tenure and tenure-track),Leibniz Institute for Astrophysics Potsdam (AIP),Large Academic,/ad/1b9e7100,Germany
162,162,2022,2,2021,Astrophysicist,Scientific/Technical Staff,Smithsonian Astrophysical Observatory,Government Agency,/ad/39d57f19,United States of America
163,163,2019,11,2019,Postdoctoral Research Fellow,Post-doctoral Positions and Fellowships,George Mason University,Large Academic,/ad/1ff0a33c,United States of America
164,164,2021,12,2021,ORIGINS Long-Term Postdoc in JWST Exoplanet Science (3+1 years),Post-doctoral Positions and Fellowships,Ludwig Maximilian University,Large Academic,/ad/32085c39,Germany
