,i,year,month,acyear,title,category,inst,instclass,url,country,postalcode
22,22,2022,2,2021,ERC based stellar astronomy position at CAMK ,Post-doctoral Positions and Fellowships,Nicolaus Copernicus Astronomical Centre of the Polish Academy of Sciences,Small Academic,/ad/0fd7df00,Poland,
23,23,2023,1,2022,Postdoctoral Scholar Positions in Cosmic Microwave Background Cosmology / Millimeter-Wave Astrophysics,Post-doctoral Positions and Fellowships,Florida State University,Large Academic,/ad/26f952cf,United States of America,32306
24,24,2022,1,2021,Lead Project Manager,Science Management,California Institute of Technology,Large Academic,/ad/5330a579,United States of America,91125
25,25,2020,9,2020,Senior Research Scientist,Scientific/Technical Staff,George Mason University,Large Academic,/ad/d0dbd58c,United States of America,
26,26,2021,7,2021,Astronomer,Faculty Positions (tenure and tenure-track),South African Astronomical Observatory,Government Agency,/ad/93e6d8b4,South Africa,
27,27,2023,4,2022,PhD fellowship in atmospheric turbulence modeling and adaptive optics,Pre-doctoral/Graduate Positions,Université catholique de Louvain &amp; Université de Liège,Large Academic,/ad/e1b16a59,Belgium,
28,28,2021,5,2020,PhD position in cosmology,Pre-doctoral/Graduate Positions,Aix-Marseille University,Large Academic,/ad/38340225,France,
29,29,2020,2,2019,Optical Scientist (Civil Servant) in the Exoplanet Technologies group at NASA Ames Research Center,Scientific/Technical Staff,NASA Ames Research Center,Government Agency,/ad/1727657b,United States of America,94035
30,30,2020,9,2020,Carnegie Postdoctoral Fellowship,Post-doctoral Positions and Fellowships,Carnegie Observatories,Other,/ad/fcb636af,United States of America,91101
31,31,2019,9,2019,Space Telescope Prize Research Fellowships #0038528,Post-doctoral Positions and Fellowships,Space Telescope Science Institute,Other,/ad/77a8d8e2,United States of America,21218
32,32,2021,2,2020,ALMA Astronomer,Scientific/Technical Staff,National Radio Astronomy Observatory,Research Laboratory,/ad/fd92a055,Chile,
33,33,2021,1,2020,Postdoctoral Research Associate in Gravitational Lensing and Quasar Physics,Post-doctoral Positions and Fellowships,U.S. Naval Academy,Small Academic,/ad/bfc94145,United States of America,21402
34,34,2020,9,2020,"Associate Professor, Astronomy &amp; Astrophysics",Faculty Positions (tenure and tenure-track),University of Chicago,Large Academic,/ad/472ae537,United States of America,60609
35,35,2021,10,2021,Faculty Positions  (Technology Development),Faculty Positions (tenure and tenure-track),Tata Institute of Fundamental Research,Large Academic,/ad/71485108,India,411007
36,36,2019,12,2019,"Principal Engineer, Electrical (Multilple Positions)",Science Engineering,University of Arizona,Large Academic,/ad/7c21da9c,United States of America,
37,37,2022,10,2022,Branch Managers NIRCam and NIRSpec,Science Management,Space Telescope Science Institute,Large Academic,/ad/8763ba72,United States of America,21218
38,38,2022,9,2022,Lecturer / Senior Lecturer (2 positions),Faculty Positions (tenure and tenure-track),University of Hertfordshire,Large Academic,/ad/3d906a50,United Kingdom of Great Britain and Northern Ireland,AL10 9AB
39,39,2022,10,2022,Tenure-Track Assistant Professor: Astrophysics,Faculty Positions (tenure and tenure-track),Tufts University,Large Academic,/ad/430db2e7,United States of America,02155
40,40,2022,3,2021,South Pole Machinist,Scientific/Technical Staff,University of Chicago,Large Academic,/ad/96869d61,Antarctica,
41,41,2023,3,2022,Postdoctoral Fellowship in HI Radio Astronomy ,Post-doctoral Positions and Fellowships,Centre for Radio Astronomy Techniques &amp; Technologies (RATT),Large Academic,/ad/1ad4d83a,South Africa,6139
42,42,2022,7,2022,Two Tenure-track Positions in Astrophysics,Faculty Positions (tenure and tenure-track),Thüringer Landessternwarte,Large Academic,/ad/964943c5,Germany,07778
43,43,2022,2,2021,DevOps Network Engineer,Science Engineering,GMTO Corporation,Other,/ad/1de71eda,United States of America,91107
44,44,2020,7,2020,Full or associate professor in Theoretical Planetology,Faculty Positions (tenure and tenure-track),University of Bern,Large Academic,/ad/1021c5f4,Switzerland,
45,45,2021,11,2021,Postdoctoral Fellowship in Galaxy Formation and Active Galactic Nuclei,Post-doctoral Positions and Fellowships,Tel Aviv University,Large Academic,/ad/66248a44,Israel,69978
46,46,2023,4,2022,Program Director,Scientific/Technical Staff,National Science Foundation,Government Agency,/ad/b62e9768,United States of America,22314
47,47,2021,10,2021,Oort Postdoctoral Fellowship at Leiden Observatory,Post-doctoral Positions and Fellowships,Leiden University,Large Academic,/ad/8fbf11c5,Netherlands,
48,48,2021,7,2021,"H2020 SPACE NEMESIS postdoctoral position at Konkoly Observatory, Budapest",Post-doctoral Positions and Fellowships,Research Centre for Astronomy and Earth Sciences (CSFK),Large Academic,/ad/e5907560,Hungary,H-1121
49,49,2020,12,2020,Optomechanical Engineer for the Hobby-Eberly Telescope,Science Engineering,McDonald Observatory/University of Texas at Austin,Large Academic,/ad/6863701e,United States of America,79734
50,50,2019,11,2019,PhD position in radio/X-ray extragalactic astronomy,Pre-doctoral/Graduate Positions,University of Hamburg,Large Academic,/ad/4e6dc16e,Germany,21029
51,51,2022,8,2022,Computational Spectroscopist at NASA Goddard Space Flight Center,Scientific/Technical Staff,NASA Goddard Space Flight Center,Government Agency,/ad/635dbb43,United States of America,20771
52,52,2019,9,2019,PhD positions at the Australian National University / Mt. Stromlo Observatory,Pre-doctoral/Graduate Positions,Australian National University,Large Academic,/ad/cf6a6a70,Australia,2611
53,53,2022,6,2022,Senior Software Engineer,Science Engineering,University of California Santa Cruz,Large Academic,/ad/10040878,United States of America,95064
54,54,2022,3,2021,Postdoc in Planet Formation at the GLOBE Institute ,Post-doctoral Positions and Fellowships,University of Copenhagen,Large Academic,/ad/4c3065b3,Denmark,DK-1017
55,55,2020,10,2020,Postdoctoral Research Fellowship in Astrophysics,Post-doctoral Positions and Fellowships,University of Oslo,Large Academic,/ad/6a0eeaf1,Norway,
56,56,2019,6,2019,Postdoc on Stellar Activity,Post-doctoral Positions and Fellowships,Universidade de Sao Paulo (USP),Large Academic,/ad/e2163ffe,Brazil,
57,57,2019,7,2019,Post-Doctoral Research Position Announcement: EACOA and EAO Fellowships 2020,Post-doctoral Positions and Fellowships,East Asian Core Obserbatories Association (EACOA),Large Academic,/ad/501a6dcd,China,100101
58,58,2022,10,2022,IU College of Arts and Sciences STEM Inclusive Postdoctoral Fellowship Program,Post-doctoral Positions and Fellowships,Indiana University,Large Academic,/ad/8873d0a6,United States of America,
59,59,2023,3,2022,Postdoctoral position - Supernova Remnants / Supernovae,Post-doctoral Positions and Fellowships,Universidad Diego Portales,Foreign,/ad/1d4f7423,Chile,
60,60,2021,10,2021, Physics Lecturer ,Faculty Positions (visiting and non-tenure),University of Georgia,Large Academic,/ad/ba6b821b,United States of America,30602
61,61,2022,1,2021,Research Fellow in Exoplanets Characterisation,Post-doctoral Positions and Fellowships,University College London,Large Academic,/ad/4bf0e9d1,United Kingdom of Great Britain and Northern Ireland,RH5 6NT
62,62,2021,8,2021,Stromlo Fellow,Post-doctoral Positions and Fellowships,Australian National University,Large Academic,/ad/372bc5ad,Australia,
63,63,2023,1,2022,Associate Editor - Astronomy Magazine,Other,Kalmbach Media,Other,/ad/81825f3d,United States of America,53186
64,64,2019,8,2019,Call for applications to doctoral program 2020A in UST-KASI,Other,Korea Astronomy and Space Science Institute(KASI),Foreign,/ad/2e96a021,Korea (Republic of),
65,65,2020,10,2020,Senior Research Associate in Astrophysics,Post-doctoral Positions and Fellowships,University of Potsdam,Large Academic,/ad/40af0c5b,Germany,14476
66,66,2022,8,2022,PhD Scholarship in Asteroseismology,Pre-doctoral/Graduate Positions,University of Sydney,Large Academic,/ad/4695b6e3,Australia,2006
67,67,2023,1,2022,KASI-Yonsei Postdoctoral Positions,Post-doctoral Positions and Fellowships,Korea Astronomy and Space Science Institute (KASI),Foreign,/ad/ff35d4d3,Korea (Republic of),
68,68,2021,4,2020,Optical Systems Scientist (Research Scientist II),Scientific/Technical Staff,Georgia State University,Government Agency,/ad/b1670b2e,United States of America,91023
69,69,2022,1,2021,IAS Postdoctoral Fellow in Observational Astrophysics and Cosmology,Post-doctoral Positions and Fellowships,The Hong Kong University of Science and Technology,Large Academic,/ad/11834558,Hong Kong,
70,70,2022,12,2022,Post-doctoral Position in AGN and galaxy evolution at Seoul National University ,Post-doctoral Positions and Fellowships,Seoul National University,Large Academic,/ad/0c75f9e0,Korea (Republic of),08826
71,71,2022,1,2021,"Asteroseismology of intermediate- and high-mass stars: clusters, binaries, and yields",Post-doctoral Positions and Fellowships,"Institute of Astronomy, KU Leuven",Large Academic,/ad/42a20a0e,Belgium,3001
72,72,2019,10,2019,Postdoctoral position in exoplanet atmosphere characterization,Post-doctoral Positions and Fellowships,Leiden University,Large Academic,/ad/b81ea78b,Netherlands,2300 RA
73,73,2019,10,2019,Postdoctoral Research Associate in Blazar Astrophysics,Post-doctoral Positions and Fellowships,Dartmouth College,Small Academic,/ad/b20590d9,United States of America,03755
74,74,2021,11,2021,Postdoctoral position on strong lensing at the Technical University of Munich,Post-doctoral Positions and Fellowships,Technical University of Munich,Large Academic,/ad/d654af2d,Germany,
75,75,2020,3,2019,"Postbaccalaureate Positions in Instrument Modeling, Atmospheric Modeling, and Laboratory Studies with the NASA Sellers Exoplanet Environments Collaboration (SEEC)",Science Engineering,Southeastern Universities Research Association,Other,/ad/8f34252a,United States of America,20005
76,76,2022,10,2022,Postdoctoral Fellow - High-Redshift Galaxy Evolution - University of Texas at Austin,Post-doctoral Positions and Fellowships,The University of Texas at Austin,Large Academic,/ad/6b0b2ada,United States of America,78712
77,77,2021,2,2020,Postdoctoral Associate in Planet Formation and Habitability,Post-doctoral Positions and Fellowships,University of Colorado Boulder,Large Academic,/ad/4ecb4e6f,United States of America,80309
78,78,2022,11,2022,Tenure Track Astronomy Faculty,Faculty Positions (tenure and tenure-track),Agnes Scott College,Small Academic,/ad/12508a2c,United States of America,30030
79,79,2020,6,2020,IPA Program Directors ,Science Management,National Science Foundation,Government Agency,/ad/0b2210cd,United Kingdom of Great Britain and Northern Ireland,22314
80,80,2020,12,2020,Research Fellowship in Cosmology at the University of Florence,Post-doctoral Positions and Fellowships,University of Florence,Large Academic,/ad/948f8089,Italy,
81,81,2020,10,2020,"Postdoctoral Research Positions in the Planet and Star Formation Department at the  Max Planck Institute for Astronomy (MPIA), Heidelberg ",Post-doctoral Positions and Fellowships,Max Planck Institute for Astronomy,Foreign,/ad/7bda0011,Germany,69117
82,82,2023,1,2022,PhD Scholarships in Astrophysics,Pre-doctoral/Graduate Positions,Macquarie University,Foreign,/ad/a26b2fa8,Australia,
83,83,2022,5,2021,Lecturer/Associate Lecturer,Post-doctoral Positions and Fellowships,Curtin University,Large Academic,/ad/ead79a57,Australia,
84,84,2021,10,2021,Tenured or Tenure-Track Faculty Position in Astronomy and Astrophysics,Faculty Positions (tenure and tenure-track),Penn State University,Large Academic,/ad/d05291bc,United States of America,
85,85,2020,4,2019,Science Instruments Project Manager,Science Engineering,"TMT International Observatory, LLC",Other,/ad/26bb26fc,United States of America,
86,86,2021,12,2021,2022 Space Astronomy Summer Program (SASP) Intern Positions,Pre-doctoral/Graduate Positions,Space Telescope Science Institute,Other,/ad/4919bbc6,United States of America,21218
87,87,2021,1,2020,Lunar Astronomer to Conduct Astronomy from Moon Surface,Scientific/Technical Staff,International Lunar Observatory Association,Other,/ad/5141e0d5,United States of America,96743
88,88,2022,10,2022,"Assistant Professor, Astrophysics",Faculty Positions (tenure and tenure-track),Massachusetts Institute of Technology,Large Academic,/ad/55b2f87a,United States of America,02139
89,89,2021,10,2021,"Postdoctoral Research Scientist in Cosmology, Galaxy Formation and Machine Learning",Post-doctoral Positions and Fellowships,Columbia University,Large Academic,/ad/775e94e9,United States of America,10027
90,90,2021,10,2021,Faculty Position in Physics and Astrophysics,Faculty Positions (tenure and tenure-track),"University of California, Los Angeles",Large Academic,/ad/af61f5f5,United States of America,90095
91,91,2021,1,2020,PhD position in extragalactic astronomy,Pre-doctoral/Graduate Positions,Ghent University,Large Academic,/ad/4f4e0db9,Belgium,9000
92,92,2022,12,2022,2-Year Postdoctoral Appointment in Planetary Science,Post-doctoral Positions and Fellowships,University Of Rochester,Large Academic,/ad/799df646,United States of America,14620
93,93,2020,3,2019,Adaptive Optics Technical Project Manager,Science Engineering,"TMT International Observatory, LLC",Other,/ad/59f56c95,United States of America,
94,94,2022,6,2022,ERC-funded PhD position in protoplanetary discs and planet formation,Pre-doctoral/Graduate Positions,Università degli Studi di Milano,Large Academic,/ad/bd43c9ad,Italy,20133
95,95,2022,12,2022,"Systems Analyst, Assistant",Scientific/Technical Staff,MIT Lincoln Laboratory,Research Laboratory,/ad/87048edf,United States of America,02421
96,96,2020,2,2019,Scientist or Engineer - Radar Systems,Scientific/Technical Staff,Green Bank Observatory/NRAO,Research Laboratory,/ad/5d32d350,United States of America,
97,97,2021,10,2021,Professor of Educational Practice,Faculty Positions (visiting and non-tenure),"University of Utah, Physics &amp; Astronomy",Large Academic,/ad/3d4a5254,United States of America,84112
98,98,2019,6,2019,Postdoctoral Position in the MPE High Energy Group,Post-doctoral Positions and Fellowships,Max Planck Institute for Extraterrestrial Physics,Foreign,/ad/68bf479b,Germany,85748
99,99,2022,10,2022,Research Associate in Galaxy Formation &amp; Evolution,Post-doctoral Positions and Fellowships,University of Cambridge,Large Academic,/ad/dac45578,United Kingdom of Great Britain and Northern Ireland,
100,100,2019,11,2019,Post-Doctoral Researchers in Exoplanet Imaging #0040885,Post-doctoral Positions and Fellowships,Space Telescope Science Institute,Other,/ad/098b5e71,United States of America,21218
101,101,2021,8,2021,"Full Professor, National Astronomical Observatory of Japan (NAOJ)",Faculty Positions (tenure and tenure-track),National Astronomical Observatory of Japan (NAOJ),Foreign,/ad/335e5fe2,Japan,181-8588
102,102,2023,1,2022,Post Doctoral Research Associate,Post-doctoral Positions and Fellowships,Georgia Institute of Technology,Large Academic,/ad/c0a8d4fd,United States of America,
103,103,2022,3,2021,Postdoctoral position in observational astrophysics,Post-doctoral Positions and Fellowships,Uppsala University,Large Academic,/ad/312e076a,Sweden,
104,104,2022,12,2022,Postdoctoral Scholar in Extragalactic Astrophysics at Caltech/IPAC,Post-doctoral Positions and Fellowships,Caltech,Large Academic,/ad/6efabfca,United States of America,91125
105,105,2020,10,2020,Postdoctoral Position in Star and Planet Formation,Post-doctoral Positions and Fellowships,The University of Texas at Austin,Large Academic,/ad/579db33a,United States of America,78712
106,106,2022,7,2022,Post Doctoral position on the Milky Way in X-rays,Post-doctoral Positions and Fellowships,Istituto Nazionale di Astronomia,Research Laboratory,/ad/a82c9dfb,Italy,23807
107,107,2019,10,2019,Postdoctoral Scientist - Supernova / Gravitational Wave,Post-doctoral Positions and Fellowships,Las Cumbres Observatory / UCSB,Large Academic,/ad/7d80b2d3,United States of America,93117
108,108,2019,9,2019,PhD and Master positions in Astrophysics at the Pontificia Universidad Católica de Chile,Pre-doctoral/Graduate Positions,Pontificia Universidad Católica de Chile,Large Academic,/ad/041cf77e,Chile,
109,109,2022,9,2022,Research Associate/Senior Research Associate in Gaia/PLATO Data Science,Post-doctoral Positions and Fellowships,University of Cambridge,Foreign,/ad/03e9eb80,United Kingdom of Great Britain and Northern Ireland,CB3 0HA
110,110,2022,11,2022,Louis-Hansen Foundation Assistant/Associate Professorship in Theoretical Physics,Faculty Positions (visiting and non-tenure),Niels Bohr International Academy,Foreign,/ad/374c8c69,Denmark,2100
111,111,2021,7,2021,Physics Lecturer and Lab Positions,Faculty Positions (visiting and non-tenure),American University,Small Academic,/ad/1f4afd44,United States of America,20016
112,112,2022,6,2022,Lecturer/Associate Professor in Theoretical Astrophysics,Faculty Positions (tenure and tenure-track),University of Leeds,Foreign,/ad/3e4d2c16,United Kingdom of Great Britain and Northern Ireland,LS9 2JT
113,113,2021,8,2021,Applications Developer,Science Engineering,Caltech/IPAC,Small Academic,/ad/bb723628,United States of America,91125
114,114,2021,12,2021,"Project Assistant Professor, National Astronomical Observatory of Japan (NAOJ)",Faculty Positions (visiting and non-tenure),National Astronomical Observatory of Japan,Foreign,/ad/2ed1eb41,Japan,
115,115,2022,8,2022,Program Coordinator for graduate program in inclusive multimessenger astronomy,Other,Vanderbilt University and Fisk University,Large Academic,/ad/ab5f6385,United States of America,
116,116,2023,4,2022,Data Scientist Position for eROSITA and HETDEX (m-w-d) 08/2023,Other,Max-Planck-Institut für extraterrestrische Physik,Foreign,/ad/66ee30c9,Germany,85748
117,117,2020,3,2019,Post-doctoral Fellowship positions - ASTROdust project,Post-doctoral Positions and Fellowships,National Centre for Nuclear Research,Other,/ad/ddf7bde2,Poland,02-931
118,118,2020,11,2020,Astrophysicist (Post-doctoral Research Fellow),Post-doctoral Positions and Fellowships,Smithsonian Astrophysical Observatory,Government Agency,/ad/706da7d5,United States of America,
119,119,2022,5,2021,Federal Relations Manager,Other,Carnegie Institution for Science,Other,/ad/1f526b7a,United States of America,20015
120,120,2022,1,2021,Postdoctoral Scholar Position in Astrophysics ~ Spherex Mission,Post-doctoral Positions and Fellowships,"University of California, Irvine",Large Academic,/ad/83841e3b,United States of America,92697
121,121,2019,12,2019,Weak lensing postdoctoral positions at SJTU,Post-doctoral Positions and Fellowships,Shanghai Jiao Tong University,Large Academic,/ad/15134044,China,
122,122,2022,12,2022,"Project Assistant Professor, National Astronomical Observatory of Japan (NAOJ) ALMA Project",Faculty Positions (visiting and non-tenure),National Astronomical Observatory of Japan (NAOJ),Foreign,/ad/77ebe35f,Japan,
123,123,2022,9,2022,Postdoctoral Fellowships in Cosmology and Astrophysics at Kavli IPMU,Post-doctoral Positions and Fellowships,Kavli IPMU,Foreign,/ad/e8f09060,Japan,277-8583
124,124,2022,8,2022,"Clinical Assistant Professor in Science, Liberal Studies, New York University Arts and Science",Faculty Positions (visiting and non-tenure),New York University Arts and Science,Large Academic,/ad/455bd554,United States of America,10003
125,125,2019,10,2019,Assistant Professor (tenure-track) position in Astronomy/Astrophyics ,Faculty Positions (tenure and tenure-track),"California State University, Sacramento",Large Academic,/ad/f3f539e6,United States of America,95819
126,126,2019,8,2019,Postdoctoral position on stars in globular clusters ,Post-doctoral Positions and Fellowships,Nicolaus Copernicus Astronomical Center,Small Academic,/ad/93a970b8,Poland,00-716
127,127,2019,8,2019,Doctoral Researcher in Solar Physics,Pre-doctoral/Graduate Positions,Leibniz Institute for Astrophysics Potsdam (AIP),Large Academic,/ad/30e92b35,Germany,14482
128,128,2021,12,2021,CMB-S4 Postdoctoral Fellow ,Post-doctoral Positions and Fellowships,Lawrence Berkeley National Laboratory,Research Laboratory,/ad/d9636467,United States of America,94720
129,129,2020,2,2019,Assistant Professor of Physics,Faculty Positions (tenure and tenure-track),University of the Virgin Islands,Large Academic,/ad/4bb7aa1f,United States of America,00802
130,130,2020,12,2020,Postdoctoral position in fast radio burst VLBI,Post-doctoral Positions and Fellowships,Massachusetts Institute of Technology,Large Academic,/ad/5d9f7d55,United States of America,02139
131,131,2021,9,2021,Assistant Professor of Astronomy,Faculty Positions (tenure and tenure-track),CSU Long Beach,Large Academic,/ad/40c91874,United States of America,90840
132,132,2020,11,2020,Postdoc position in data analysis ,Post-doctoral Positions and Fellowships,Weizmann Institute of Science,Large Academic,/ad/797de05c,Israel,96100
133,133,2021,10,2021,Chalmers Cosmic Origins Fellowships,Post-doctoral Positions and Fellowships,Chalmers University of Technology,Large Academic,/ad/f2bdc5a1,Sweden,
134,134,2019,12,2019,TESS Postdoctoral Associate,Post-doctoral Positions and Fellowships,Massachusetts Institute of Technology,Large Academic,/ad/9e9094f0,United States of America,02139
135,135,2021,3,2020,"Ph.D position in exoplanetary atmospheres (GCMs) at University of Bern, Switzerland (Heng Group)",Pre-doctoral/Graduate Positions,University of Bern,Large Academic,/ad/e0bfbb4f,Switzerland,3012
136,136,2022,8,2022,Communications Manager for McDonald Observatory,Other,"McDonald Observatory, The University of Texas at Austin",Large Academic,/ad/75b30a6c,United States of America,
137,137,2022,7,2022,Associate Lecturer - Fast Radio Bursts,Post-doctoral Positions and Fellowships,Curtin University,Large Academic,/ad/f806dfdb,Australia,
138,138,2020,3,2019,SALT Postdoctoral Fellowship,Post-doctoral Positions and Fellowships,National Research Foundation - South African Astronomical Observatory,Small Academic,/ad/2ba8c322,South Africa,7935
139,139,2022,9,2022,Assistant Professor (tenure-track) and Professor positions in Astronomy,Faculty Positions (tenure and tenure-track),Institute of Science and Technology Austria (ISTA),Other,/ad/f973dab8,Austria,3400
140,140,2022,4,2021,"Residential fellowship ""Exoplanets and Biological Activity on Other Worlds""",Post-doctoral Positions and Fellowships,Swedish Collegium for Advanced Study,Foreign,/ad/a9eeeb39,Sweden,
141,141,2021,11,2021,Extragalactic JWST Postdoctoral Fellow,Post-doctoral Positions and Fellowships,Carnegie Observatories,Small Academic,/ad/f6cb5802,United States of America,91101
142,142,2019,10,2019,Postdoctoral Position in Theoretical Astrophysics,Post-doctoral Positions and Fellowships,Johns Hopkins University,Large Academic,/ad/2e424ff6,United States of America,21218
143,143,2022,10,2022,Assistant Professor in Experimental Physics / Experimental Astrophysics,Faculty Positions (tenure and tenure-track),Stanford University,Large Academic,/ad/030f6ec9,United States of America,94305
144,144,2021,8,2021,"POSTDOCTORAL FELLOWSHIP at The Institute for Theoretical Atomic, Molecular and Optical Physics",Post-doctoral Positions and Fellowships,Center for Astrophysics | Harvard &amp; Smithsonian,Research Laboratory,/ad/c9d13dbb,United States of America,02138
145,145,2020,11,2020,"Peng Cheng Postdoctoral Positions in Artificial Intelligence (AI), Machine Learning, Statistics applications in Astrophysics",Post-doctoral Positions and Fellowships,Peng Cheng Laboratory,Large Academic,/ad/9b28a5cf,China,
146,146,2022,9,2022,"Postdoctoral researcher - dwarf galaxies, Euclid",Post-doctoral Positions and Fellowships,University of Oulu,Large Academic,/ad/cf05f360,Finland,PL 8000
147,147,2022,6,2022,Lecturer/Senior Lecturer in Astrophysics,Faculty Positions (tenure and tenure-track),Newcastle University,Other,/ad/04888ef2,United Kingdom of Great Britain and Northern Ireland,NE1 7RU
148,148,2022,2,2021,Science Planner,Scientific/Technical Staff,Penn State University,Large Academic,/ad/0d7eaea6,United States of America,
149,149,2022,7,2022,PhD student Generic phased array feed for ground station G/T optimisation and RFI resilience,Pre-doctoral/Graduate Positions,ASTRON,Research Laboratory,/ad/6864ff7c,Netherlands,7991 PD
150,150,2022,9,2022,Software Research Positions for Rubin Observatory Science Collaboration Pipeline Support,Post-doctoral Positions and Fellowships,Canadian Rubin Consortium,Large Academic,/ad/ec830c44,Canada,
151,151,2022,7,2022,IT Specialist  (Applications Software),Scientific/Technical Staff,Smithsonian Astrophysical Observatory,Government Agency,/ad/7a61d19d,United States of America,
152,152,2021,8,2021,Tenure-Track Assistant Professor in Observational Exoplanet Astronomy,Faculty Positions (tenure and tenure-track),McMaster University,Large Academic,/ad/3dcdef21,Canada,L8S 4K1
153,153,2022,4,2021,"Full Professor, National Astronomical Observatory of Japan (NAOJ) Subaru Telescope",Faculty Positions (tenure and tenure-track),National Astronomical Observatory of Japan,Foreign,/ad/304ce1b1,United States of America,
154,154,2022,11,2022,NAOJ Postdoctoral Researcher Stationed at Tohoku University,Post-doctoral Positions and Fellowships,National Astronomical Observatory of Japan/Tohoku University,Foreign,/ad/986de8d4,Japan,
155,155,2021,3,2020,"Research Scientist, Synthetic Photometry and Spectrophotometry",Scientific/Technical Staff,George Mason University,Large Academic,/ad/72697087,United States of America,
156,156,2022,6,2022,Postdoctoral Research Fellow in Astrophysics / Cosmology,Post-doctoral Positions and Fellowships,THE UNIVERSITY OF QUEENSLAND (UQ),Large Academic,/ad/c2f07d42,Australia,4072
157,157,2021,7,2021,PhD positions in astrophysics,Pre-doctoral/Graduate Positions,The Nicolaus Copernicus Astronomical Center,Small Academic,/ad/7af7fa14,Poland,00-716
158,158,2020,9,2020,"Assistant, Associate, Full Professor of Rheumatology (2 Positions)",Faculty Positions (tenure and tenure-track),Stanford University,Large Academic,/ad/bf67a11d,United States of America,94305
159,159,2021,11,2021,Postdoctoral Research Associate,Post-doctoral Positions and Fellowships,University of Arizona,Large Academic,/ad/4cc9aa5e,United States of America,85721
160,160,2019,10,2019,Postdoctoral Fellowship for Future Faculty Leaders (FFL) — Harvard University,Post-doctoral Positions and Fellowships,Harvard University,Large Academic,/ad/b0609b70,United States of America,
